newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.general,no.norsk,5597,1808,928,0.1432762081210437
no.embnet,no.kjemi,218,663,110,0.14267185473411154
no.alt.arkiv,no.alt.pompelog,130,143,34,0.14225941422594143
no.jus,no.mail.diverse,1720,900,326,0.14210985178727115
no.ef,no.kjemi,510,663,145,0.14105058365758755
no.c,no.havforskning,940,344,157,0.13930789707187222
no.prat.politikk,no.skole.diverse,382,224,74,0.13909774436090225
no.film,no.radio-tv,2416,1319,455,0.13871951219512196
no.mail.drift,no.multimedia,373,1241,196,0.1382228490832158
no.sources.list,no.uninett.drift,31,68,12,0.13793103448275862
no.mail.diverse,no.news.drift,900,314,147,0.13776944704779756
no.alt.tegneserier,no.embnet,906,218,136,0.13765182186234817
no.litteratur,no.norsk,1408,1808,389,0.13760169791298196
no.alt.diskusjoner,no.stortinget,2182,599,336,0.1374233128834356
no.ef,no.mail.diverse,510,900,170,0.13709677419354838
no.sources.list,no.uninett.hjelp,31,69,12,0.13636363636363635
no.c,no.unix,940,1069,241,0.13631221719457012
no.jus,no.net,1720,1071,333,0.1354759967453214
no.general,no.jus,5597,1720,873,0.13547486033519554
no.alt.diskusjoner,no.irc,2182,1348,421,0.13541331617883565
no.jus,no.kjemi,1720,663,280,0.1331431288635283
no.film,no.musikk,2416,3425,684,0.13263525305410123
no.lisp,no.mail.diverse,203,900,129,0.1324435318275154
no.pc,no.spill,5333,2771,946,0.1321598211791003
no.tungregning,no.uninett.hjelp,51,69,14,0.1320754716981132
no.news.drift,no.nuug,314,83,46,0.13105413105413105
no.ef,no.jus,510,1720,258,0.1308316430020284
no.alt.gledesutbrudd,no.alt.mat,1620,1172,322,0.13036437246963561
no.alt.gledesutbrudd,no.general,1620,5597,832,0.1303054032889585
no.alt.frustrasjoner,no.vitser,3039,3340,732,0.12962635027448202
no.standard,no.tegnsett,69,184,29,0.12946428571428573
no.kjemi,no.lisp,663,203,99,0.1290743155149935
no.prat.politikk,no.prat.seksualitet,382,336,82,0.1289308176100629
no.prat.politikk,no.vit.diverse,382,196,66,0.12890625
no.kjemi,no.medisin,663,514,134,0.12847555129434324
no.kjemi,no.net,663,1071,197,0.12817176317501627
no.alt.gledesutbrudd,no.norsk,1620,1808,389,0.1280026324448832
no.ai,no.alt.pompelog,179,143,36,0.1258741258741259
no.irc,no.news.diverse,1348,1726,343,0.12559502013914317
no.musikk,no.musikk.gitar,3425,1047,498,0.1253145445395068
no.alt.frustrasjoner,no.irc,3039,1348,487,0.12487179487179487
no.alt.gledesutbrudd,no.jus,1620,1720,370,0.12457912457912458
no.c,no.irc,940,1348,253,0.12432432432432433
no.org.efn.diskusjon,no.telepost,357,403,84,0.1242603550295858
no.irc,no.mail.diverse,1348,900,248,0.124
no.alt.radio-tv.irma-1000,no.kjemi,202,663,95,0.12337662337662338
no.kjemi,no.multimedia,663,1241,209,0.12330383480825959
no.alt.god.jul,no.havforskning,459,344,88,0.12307692307692308
no.standard,no.uninett.drift,69,68,15,0.12295081967213115
no.alt.gledesutbrudd,no.irc,1620,1348,324,0.12254160363086233
no.alt.god.jul,no.lisp,459,203,72,0.12203389830508475
no.standard,no.uninett.hjelp,69,69,15,0.12195121951219512
no.kjemi,no.litteratur,663,1408,225,0.1218851570964247
no.c,no.lisp,940,203,124,0.12168792934249265
no.c,no.net,940,1071,218,0.12158393753485779
no.alt.god.jul,no.mail.drift,459,373,90,0.12129380053908356
no.c,no.mail.diverse,940,900,199,0.12126751980499695
no.alt.diskusjoner,no.ef,2182,510,291,0.12119950020824656
no.jus,no.litteratur,1720,1408,338,0.12114695340501792
no.audio,no.elektronikk,2277,1510,408,0.12074578277596922
no.ef,no.net,510,1071,170,0.12048192771084337
no.litteratur,no.mail.drift,1408,373,191,0.12012578616352201
no.news.diverse,no.unix,1726,1069,299,0.11979166666666667
no.alt.config,no.alt.god.jul,327,459,84,0.11965811965811966
no.news.diverse,no.news.drift,1726,314,218,0.11964873765093303
no.alt.irc-treff,no.alt.irctreff,227,82,33,0.11956521739130435
no.general,no.marked,5597,8022,1447,0.11887939533355242
no.irc,no.net,1348,1071,257,0.11887141535615171
no.alt.frustrasjoner,no.film,3039,2416,576,0.11805697888911662
no.alt.frustrasjoner,no.pc,3039,5333,883,0.11790626251836026
no.alt.arkiv,no.alt.radio-tv.irma-1000,130,202,35,0.11784511784511785
no.net,no.unix,1071,1069,225,0.1174934725848564
no.tegnsett,no.uninett.diverse,184,149,35,0.1174496644295302
