from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.ms-windows,no.elektronikk,23,4123,936
no.multimedia,no.org.efn.diskusjon,23,954,581
no.musikk,no.news.drift,23,15532,1497
no.musikk,no.nuug,23,15532,1497
no.musikk,no.typografi,23,15532,1497
no.musikk.gitar,no.alt.frustrasjoner,23,910,220
no.musikk.gitar,no.alt.gledesutbrudd,23,910,220
no.net,no.alt.pompelog,23,1110,523
no.net,no.org.efn.diskusjon,23,1110,523
no.news.diverse,no.nuug,23,6024,2109
no.news.drift,no.unix,23,345,185
no.nuug,no.org.efn.diskusjon,23,50,46
no.org.efn.diskusjon,no.musikk.gitar,23,869,491
no.prat.narkotika,no.stortinget,23,1591,613
no.psykologi,no.org.efn.diskusjon,23,1209,553
no.radio-tv,no.marked.data,23,2524,676
no.radio_tv,no.film,23,909,244
no.religion,no.alt.frustrasjoner,23,14266,2206
no.slekt,no.pc,23,2669,367
no.spill,no.radio_tv,23,5773,631
no.sport.diverse,no.uninett.diverse,23,3164,378
no.www,no.marked,23,2032,312
no.www,no.tele,23,2032,312
no.x,no.unix,23,212,85
no.ai,no.alt.motorsykler,22,158,118
no.alt.config,no.alt.radio_tv.irma1000,22,451,283
no.alt.diskusjoner,no.biz.diskusjoner,22,10536,4821
no.alt.frustrasjoner,no.alt.mat.drikke,22,21167,4522
no.alt.frustrasjoner,no.marked.data,22,21167,4522
no.alt.gledesutbrudd,no.alt.sjokolade,22,6405,1220
no.alt.god.jul,no.norsk,22,399,231
no.alt.irc-treff,no.irc,22,687,171
no.alt.motorsykler,no.ai,22,26896,1305
no.alt.pompelog,no.alt.god.jul,22,182,83
no.alt.radio_tv.irma1000,no.alt.diskusjoner,22,210,59
no.alt.tegneserier,no.eunet.drift,22,1182,354
no.biz.annonser,no.film,22,746,501
no.biz.annonser.data,no.it.diverse,22,276,193
no.c,no.eunet.drift,22,1412,303
no.ef,no.eunet.drift,22,866,633
no.embnet,no.eunet.drift,22,178,157
no.eunet.diverse,no.eunet.drift,22,89,51
no.eunet.diverse,no.havforskning,22,89,51
no.eunet.drift,no.alt.tegneserier,22,227,55
no.eunet.drift,no.c,22,227,55
no.eunet.drift,no.ef,22,227,55
no.eunet.drift,no.embnet,22,227,55
no.eunet.drift,no.havforskning,22,227,55
no.general,no.it.diverse,22,47032,13121
no.havforskning,no.eunet.diverse,22,243,165
no.havforskning,no.eunet.drift,22,243,165
no.it.emacs,no.prat.politikk,22,708,143
no.jus,no.stortinget,22,5232,1998
no.mail.diverse,no.unix,22,1099,512
no.marked,no.www,22,4847,1840
no.medisin,no.net,22,880,278
no.multimedia,no.sport.diverse,22,954,581
no.net,no.medisin,22,1110,523
no.news.diverse,no.medisin,22,6024,2109
no.prat.aksjer,unknown,22,478,46
no.radio-tv,no.norsk,22,2524,676
no.spill,no.speider,22,5773,631
no.sport.diverse,no.multimedia,22,3164,378
no.stortinget,no.news.diverse,22,1495,626
no.unix,no.news.drift,22,2325,766
no.vit.diverse,no.news.diverse,22,447,186
no.ai,unknown,21,158,118
no.alkohol,no.alt.radio_tv.irma1000,21,2049,918
no.alkohol,no.multimedia,21,2049,918
no.alt.flame,no.alt.katter,21,16830,5387
no.alt.flame,no.alt.mat.drikke,21,16830,5387
no.alt.flame,no.alt.motorsykler,21,16830,5387
no.alt.katter,no.alt.frustrasjoner,21,1001,143
no.alt.radio_tv.irma1000,no.alkohol,21,210,59
no.alt.radio_tv.irma1000,no.alt.config,21,210,59
no.biz.diskusjoner,no.marked,21,147,96
no.c,no.pc,21,1412,303
no.film,no.alt.mat,21,6949,1035
no.litteratur,no.news.diverse,21,2060,485
no.mac,no.ms-windows,21,11681,1053
no.marked,no.biz.nettilbydere,21,4847,1840
no.musikk,no.radio-tv,21,15532,1497
no.musikk.gitar,no.org.efn.diskusjon,21,910,220
no.news.diverse,no.spill,21,6024,2109
no.norsk,no.film,21,11325,2296
no.norsk,no.slekt,21,11325,2296
no.nuug,no.musikk,21,50,46
no.pc,no.slekt,21,12883,2791
no.radio_tv,no.spill,21,909,244
no.speider,no.marked,21,749,86
no.speider,no.spill,21,749,86
no.tegnsett,no.mac,21,313,139
no.uninett.diverse,no.sport.diverse,21,82,53
no.unix,no.x,21,2325,766
no.ai,no.alt.flame,20,158,118
no.ai,no.alt.pompelog,20,158,118
no.alt.arkiv,no.alt.pompelog,20,74,67
no.alt.diskusjoner,no.alt.katter,20,10536,4821
no.alt.diskusjoner,no.alt.mat.drikke,20,10536,4821
no.alt.gledesutbrudd,no.religion,20,6405,1220
no.alt.god.jul,no.alt.pompelog,20,399,231
no.alt.god.jul,no.alt.radio_tv.irma1000,20,399,231
no.alt.mat,no.alt.flame,20,2055,461
no.alt.pompelog,no.ai,20,182,83
no.alt.pompelog,no.alt.arkiv,20,182,83
no.alt.pompelog,no.alt.tegneserier,20,182,83
no.alt.radio_tv.irma1000,no.alt.god.jul,20,210,59
no.audio,no.biz.annonser,20,4947,852
no.biz.annonser,no.uninett.diverse,20,746,501
no.biz.diskusjoner,no.alt.diskusjoner,20,147,96
no.biz.diskusjoner,no.biz.annonser,20,147,96
no.biz.diskusjoner,no.eunet.hjelp,20,147,96
no.biz.diskusjoner,no.net,20,147,96
no.eunet.drift,no.general,20,227,55
no.eunet.hjelp,no.biz.diskusjoner,20,327,65
no.film,no.biz.annonser,20,6949,1035
no.general,no.eunet.drift,20,47032,13121
no.general,no.medisin,20,47032,13121
no.general,no.reiser,20,47032,13121
no.it.diverse,no.general,20,330,168
no.jus,no.alt.gledesutbrudd,20,5232,1998
no.news.diverse,no.embnet,20,6024,2109
no.norsk,no.alt.gledesutbrudd,20,11325,2296
no.org.efn.diskusjon,no.musikk,20,869,491
no.pc,no.radio-tv,20,12883,2791
no.prat.politikk,no.alkohol,20,2527,1425
no.psykologi,no.musikk,20,1209,553
no.radio-tv,no.radio_tv,20,2524,676
no.religion,no.alt.gledesutbrudd,20,14266,2206
no.slekt,no.multimedia,20,2669,367
no.slekt,no.speider,20,2669,367
no.slekt.programmer,unknown,20,264,41
no.sport.diverse,no.biz.annonser,20,3164,378
no.unix,no.mail.diverse,20,2325,766
no.x,unknown,20,212,85
no.ai,no.alt.katter,19,158,118
no.ai,no.alt.mat.drikke,19,158,118
no.alkohol,no.alt.katter,19,2049,918
no.alt.arkiv,no.alt.katter,19,74,67
no.alt.arkiv,no.alt.mat.drikke,19,74,67
no.alt.config,no.alt.mat.drikke,19,451,283
no.alt.diskusjoner,no.alt.radio-tv.irma-1000,19,10536,4821
no.alt.diskusjoner,no.unix,19,10536,4821
no.alt.flame,no.irc,19,16830,5387
no.alt.frustrasjoner,no.psykologi,19,21167,4522
no.alt.mat,no.alt.tegneserier,19,2055,461
no.alt.pompelog,no.biz.diskusjoner,19,182,83
no.alt.radio-tv.irma-1000,no.alt.diskusjoner,19,108,76
no.alt.radio_tv.irma1000,unknown,19,210,59
no.alt.tegneserier,no.alt.mat,19,1182,354
no.alt.tegneserier,no.alt.pompelog,19,1182,354
no.biz.annonser,no.it.diverse,19,746,501
no.elektronikk,no.spill,19,1832,584
no.film,no.alt.motorsykler,19,6949,1035
no.general,no.bolig,19,47032,13121
no.it.diverse,no.biz.annonser,19,330,168
no.kjemi,no.alkohol,19,830,350
no.mac,no.alt.gledesutbrudd,19,11681,1053
no.marked,no.uninett.diverse,19,4847,1840
no.marked.data,no.mswindow,19,4910,1299
no.mswindow,no.marked.data,19,362,78
no.multimedia,no.alkohol,19,954,581
no.multimedia,no.slekt,19,954,581
no.news.diverse,no.alt.radio-tv.irma-1000,19,6024,2109
no.news.drift,no.biz.diskusjoner,19,345,185
no.norsk,no.alt.god.jul,19,11325,2296
no.nuug,no.news.diverse,19,50,46
no.pc,no.c,19,12883,2791
no.radio-tv,no.havforskning,19,2524,676
no.slekt,no.norsk,19,2669,367
no.slekt,no.sport.diverse,19,2669,367
no.speider,no.slekt,19,749,86
no.speider,no.sport.diverse,19,749,86
no.spill,no.elektronikk,19,5773,631
no.spill,no.vitser,19,5773,631
no.sport.diverse,no.speider,19,3164,378
no.uninett.diverse,no.biz.annonser,19,82,53
no.uninett.diverse,no.marked,19,82,53
no.unix,no.norsk,19,2325,766
no.alt.config,no.alt.radio-tv.irma-1000,18,451,283
no.alt.flame,no.alt.sjokolade,18,16830,5387
no.alt.flame,no.musikk.gitar,18,16830,5387
no.alt.frustrasjoner,no.alt.pompel-og-pilt,18,21167,4522
no.alt.gledesutbrudd,no.jus,18,6405,1220
no.alt.god.jul,no.vit.diverse,18,399,231
no.alt.god.jul,unknown,18,399,231
no.alt.katter,no.ai,18,1001,143
no.alt.katter,no.alkohol,18,1001,143
no.alt.katter,no.alt.arkiv,18,1001,143
no.alt.katter,no.alt.diskusjoner,18,1001,143
no.alt.katter,no.alt.flame,18,1001,143
no.alt.katter,no.alt.mat,18,1001,143
no.alt.mat,no.alt.katter,18,2055,461
no.alt.mat.drikke,no.ai,18,467,164
no.alt.mat.drikke,no.alt.arkiv,18,467,164
no.alt.mat.drikke,no.alt.config,18,467,164
no.alt.mat.drikke,no.alt.diskusjoner,18,467,164
no.alt.mat.drikke,no.alt.flame,18,467,164
no.alt.motorsykler,no.alt.mat.drikke,18,26896,1305
no.alt.pompelog,no.unix,18,182,83
no.alt.radio-tv.irma-1000,no.alt.arkiv,18,108,76
no.alt.radio-tv.irma-1000,no.alt.config,18,108,76
no.alt.radio-tv.irma-1000,no.alt.flame,18,108,76
no.alt.sjokolade,no.alt.flame,18,307,51
no.alt.sjokolade,no.marked.jobb,18,307,51
no.alt.sjokolade,no.musikk.gitar,18,307,51
no.alt.sjokolade,no.news.diverse,18,307,51
no.alt.sjokolade,no.vitser,18,307,51
no.alt.tegneserier,no.radio_tv,18,1182,354
no.biz.annonser,no.mail.diverse,18,746,501
no.biz.annonser,no.sport.diverse,18,746,501
no.biz.diskusjoner,no.news.drift,18,147,96
no.biz.diskusjoner,no.unix,18,147,96
no.c,no.alt.frustrasjoner,18,1412,303
no.c,no.spill,18,1412,303
no.ef,no.unix,18,866,633
no.eunet.hjelp,no.unix,18,327,65
no.general,no.vr,18,47032,13121
no.kjemi,no.vit.diverse,18,830,350
no.linux,no.spill,18,8833,1209
no.mac,no.alt.config,18,11681,1053
no.marked,no.radio_tv,18,4847,1840
no.marked.bil,no.marked.data,18,204,61
no.marked.data,no.marked.bil,18,4910,1299
no.marked.jobb,no.news.diverse,18,766,318
no.marked.jobb,no.telepost,18,766,318
no.media,no.multimedia,18,58,45
no.medisin,no.prat.seksualitet,18,880,278
no.multimedia,no.alt.config,18,954,581
no.musikk,no.psykologi,18,15532,1497
no.musikk.gitar,no.alt.flame,18,910,220
no.musikk.gitar,no.alt.sjokolade,18,910,220
no.musikk.gitar,no.vitser,18,910,220
no.news.diverse,no.alt.sjokolade,18,6024,2109
no.news.diverse,no.org.efn.diskusjon,18,6024,2109
no.norsk,no.spill,18,11325,2296
no.norsk,no.uninett.diverse,18,11325,2296
no.pc,no.hobby.diverse,18,12883,2791
no.pc,no.video,18,12883,2791
no.radio-tv,no.irc,18,2524,676
no.radio-tv,no.kjemi,18,2524,676
no.radio-tv,no.linux,18,2524,676
no.radio-tv,no.litteratur,18,2524,676
no.radio-tv,no.mac,18,2524,676
no.radio-tv,no.mail.diverse,18,2524,676
no.radio-tv,no.mail.drift,18,2524,676
no.radio-tv,no.musikk.gitar,18,2524,676
no.radio-tv,no.net,18,2524,676
no.radio_tv,no.alt.tegneserier,18,909,244
no.radio_tv,no.marked,18,909,244
no.religion,no.radio-tv,18,14266,2206
no.skole.diverse,unknown,18,350,231
no.spill,no.c,18,5773,631
no.spill,no.net,18,5773,631
no.spill,no.norsk,18,5773,631
no.sport.diverse,no.slekt,18,3164,378
no.student.nett,no.general,18,159,70
no.tegnsett,no.alt.frustrasjoner,18,313,139
no.test,no.musikk,18,1148,154
no.uninett.diverse,no.norsk,18,82,53
no.unix,no.alt.diskusjoner,18,2325,766
no.unix,no.biz.diskusjoner,18,2325,766
no.unix,no.ef,18,2325,766
no.unix,no.eunet.hjelp,18,2325,766
no.vr,no.general,18,62,24
no.alkohol,no.kjemi,17,2049,918
no.alkohol,no.medisin,17,2049,918
no.alt.config,no.multimedia,17,451,283
no.alt.flame,no.film,17,16830,5387
no.alt.flame,no.marked.jobb,17,16830,5387
no.alt.frustrasjoner,no.alt.radio-tv.irma-1000,17,21167,4522
no.alt.frustrasjoner,no.bil,17,21167,4522
no.alt.gledesutbrudd,no.marked.jobb,17,6405,1220
no.alt.motorsykler,no.alt.flame,17,26896,1305
no.alt.pompelog,no.embnet,17,182,83
no.biz.annonser,no.norsk,17,746,501
no.bolig,no.general,17,357,63
no.ef,no.alt.frustrasjoner,17,866,633
no.elektronikk,no.alt.flame,17,1832,584
no.film,no.alt.frustrasjoner,17,6949,1035
no.general,no.student.samfund,17,47032,13121
no.general,no.x,17,47032,13121
no.hobby.diverse,no.pc,17,159,79
no.hobby.diverse,no.video,17,159,79
no.irc,no.radio_tv,17,3970,1022
no.jus,no.alt.motorsykler,17,5232,1998
no.jus,no.slekt,17,5232,1998
no.linux,no.tegnsett,17,8833,1209
no.mail.diverse,no.slekt,17,1099,512
no.marked,no.alt.mat,17,4847,1840
no.marked,no.speider,17,4847,1840
no.marked.bil,no.marked.bolig,17,204,61
no.marked.bolig,no.marked.bil,17,67,36
no.marked.bolig,no.marked.data,17,67,36
no.marked.data,no.www,17,4910,1299
no.marked.jobb,no.norsk,17,766,318
no.ms-windows,no.mac,17,4123,936
no.musikk,no.org.efn.diskusjon,17,15532,1497
no.net,no.spill,17,1110,523
no.news.diverse,no.religion,17,6024,2109
no.norsk,no.biz.annonser,17,11325,2296
no.org.efn.diskusjon,no.news.diverse,17,869,491
no.pc,no.norsk.fagord,17,12883,2791
no.prat.seksualitet,no.general,17,2367,181
no.prat.ufo,unknown,17,468,36
no.radio-tv,no.religion,17,2524,676
no.reiser,no.general,17,746,84
no.skole.diverse,no.prat.seksualitet,17,350,231
no.slekt,no.jus,17,2669,367
no.slekt,no.mac,17,2669,367
no.slekt,no.mail.diverse,17,2669,367
no.spill,no.uninett.diverse,17,5773,631
no.tegnsett,no.linux,17,313,139
no.tele,no.marked.data,17,3203,694
no.tele,no.vitser,17,3203,694
no.telepost,no.marked.jobb,17,537,316
no.video,no.hobby.diverse,17,216,116
no.video,no.pc,17,216,116
no.vit.diverse,no.medisin,17,447,186
no.vitser,no.alt.sjokolade,17,4950,665
no.vitser,no.marked.jobb,17,4950,665
no.vitser,no.musikk.gitar,17,4950,665
no.alkohol,no.mac,16,2049,918
no.alkohol,no.norsk,16,2049,918
no.alt.arkiv,no.alt.radio-tv.irma-1000,16,74,67
no.alt.arkiv,no.net,16,74,67
no.alt.flame,no.alt.radio-tv.irma-1000,16,16830,5387
no.alt.frustrasjoner,no.org.efn.diskusjon,16,21167,4522
no.alt.frustrasjoner,no.slekt,16,21167,4522
no.alt.frustrasjoner,no.telepost,16,21167,4522
no.alt.gledesutbrudd,no.c,16,6405,1220
no.alt.gledesutbrudd,no.ef,16,6405,1220
no.alt.gledesutbrudd,no.embnet,16,6405,1220
no.alt.gledesutbrudd,no.havforskning,16,6405,1220
no.alt.mat,no.c,16,2055,461
no.alt.mat,no.ef,16,2055,461
no.alt.mat,no.embnet,16,2055,461
no.alt.mat,no.marked,16,2055,461
no.alt.motorsykler,no.biz.annonser,16,26896,1305
no.audio,no.alt.frustrasjoner,16,4947,852
no.bil,no.sykkel,16,3441,496
no.biz.annonser,no.marked.jobb,16,746,501
no.biz.diskusjoner,no.alt.pompelog,16,147,96
no.bolig,no.biz.annonser,16,357,63
no.bolig,unknown,16,357,63
no.general,no.typografi,16,47032,13121
no.havforskning,no.alt.gledesutbrudd,16,243,165
no.it.emacs,no.alt.gledesutbrudd,16,708,143
no.jus,no.eunet.diverse,16,5232,1998
no.jus,no.spill,16,5232,1998
no.linux,no.slekt,16,8833,1209
no.litteratur,no.slekt,16,2060,485
no.mac,no.alkohol,16,11681,1053
no.mac,no.slekt,16,11681,1053
no.marked.bolig,no.bolig,16,67,36
no.marked.data,no.marked.bolig,16,4910,1299
no.marked.jobb,no.alt.flame,16,766,318
no.marked.jobb,no.alt.frustrasjoner,16,766,318
no.marked.jobb,no.alt.gledesutbrudd,16,766,318
no.marked.jobb,no.alt.sjokolade,16,766,318
no.marked.jobb,no.biz.annonser,16,766,318
no.marked.jobb,no.vitser,16,766,318
no.media,no.marked,16,58,45
no.multimedia,no.uninett.diverse,16,954,581
no.musikk,no.alt.diskusjoner,16,15532,1497
no.musikk,no.prat.politikk,16,15532,1497
no.net,no.alt.arkiv,16,1110,523
no.news.diverse,no.marked.data,16,6024,2109
no.norsk,no.alt.tegneserier,16,11325,2296
no.norsk,no.telepost,16,11325,2296
no.norsk,no.unix,16,11325,2296
no.norsk.fagord,no.pc,16,177,47
no.pc,no.uninett.diverse,16,12883,2791
no.prat.aksjer,no.general,16,478,46
no.prat.seksualitet,no.alt.frustrasjoner,16,2367,181
no.slekt,no.linux,16,2669,367
no.slekt,no.litteratur,16,2669,367
no.sport.diverse,no.radio_tv,16,3164,378
no.stortinget,no.jus,16,1495,626
no.uninett.diverse,no.spill,16,82,53
no.unix,no.alt.pompelog,16,2325,766
no.unix,no.folklore.edb,16,2325,766
no.unix,no.perl,16,2325,766
no.vitser,no.prat.politikk,16,4950,665
no.vitser,no.spill,16,4950,665
no.www,no.marked.data,16,2032,312
no.alkohol,no.alt.tegneserier,15,2049,918
no.alt.arkiv,no.alt.tegneserier,15,74,67
no.alt.config,no.mac,15,451,283
no.alt.diskusjoner,no.mail.drift,15,10536,4821
no.alt.flame,no.alt.pompelog,15,16830,5387
no.alt.flame,no.religion,15,16830,5387
no.alt.frustrasjoner,no.eunet.diverse,15,21167,4522
no.alt.frustrasjoner,no.eunet.drift,15,21167,4522
no.alt.frustrasjoner,no.eunet.hjelp,15,21167,4522
no.alt.gledesutbrudd,no.eunet.diverse,15,6405,1220
no.alt.gledesutbrudd,no.mac,15,6405,1220
no.alt.mat,no.havforskning,15,2055,461
no.alt.motorsykler,no.film,15,26896,1305
no.alt.motorsykler,no.jus,15,26896,1305
no.alt.pompelog,unknown,15,182,83
no.alt.tegneserier,no.alkohol,15,1182,354
no.alt.tegneserier,no.alt.arkiv,15,1182,354
no.audio,no.eunet.drift,15,4947,852
no.biz.annonser,no.bolig,15,746,501
no.biz.annonser.data,no.spill,15,276,193
no.bolig,no.marked.bolig,15,357,63
no.c,no.alt.gledesutbrudd,15,1412,303
no.c,no.alt.mat,15,1412,303
no.ef,no.alt.gledesutbrudd,15,866,633
no.ef,no.alt.mat,15,866,633
no.embnet,no.alt.frustrasjoner,15,178,157
no.embnet,no.alt.gledesutbrudd,15,178,157
no.embnet,no.alt.mat,15,178,157
no.embnet,no.alt.pompelog,15,178,157
no.eunet.diverse,no.alt.gledesutbrudd,15,89,51
no.eunet.diverse,no.eunet.hjelp,15,89,51
no.eunet.drift,no.audio,15,227,55
no.folklore.edb,no.general,15,123,71
no.havforskning,no.alt.frustrasjoner,15,243,165
no.havforskning,no.alt.mat,15,243,165
no.irc,no.eunet.diverse,15,3970,1022
no.irc,no.eunet.drift,15,3970,1022
no.jus,no.eunet.drift,15,5232,1998
no.jus,no.speider,15,5232,1998
no.jus,no.sport.diverse,15,5232,1998
no.kryptografi,unknown,15,330,112
no.linux,no.alt.pompelog,15,8833,1209
no.linux,no.eunet.hjelp,15,8833,1209
no.linux,no.folklore.edb,15,8833,1209
no.litteratur,no.spill,15,2060,485
no.mail.diverse,no.biz.annonser,15,1099,512
no.marked.data,no.sport.diverse,15,4910,1299
no.ms-windows,no.tele,15,4123,936
no.news.diverse,no.uninett.skole,15,6024,2109
no.norsk,no.havforskning,15,11325,2296
no.norsk,no.radio_tv,15,11325,2296
no.norsk,no.tele,15,11325,2296
no.pc,no.folklore.edb,15,12883,2791
no.radio-tv,no.alt.pompel-og-pilt,15,2524,676
no.radio-tv,no.alt.radio-tv.irma-1000,15,2524,676
no.radio-tv,no.bil,15,2524,676
no.radio-tv,no.c,15,2524,676
no.radio-tv,no.ef,15,2524,676
no.radio-tv,no.embnet,15,2524,676
no.radio-tv,no.lisp,15,2524,676
no.radio-tv,no.marked.jobb,15,2524,676
no.radio_tv,no.alt.gledesutbrudd,15,909,244
no.radio_tv,no.sport.diverse,15,909,244
no.speider,no.jus,15,749,86
no.spill,no.biz.annonser.data,15,5773,631
no.spill,no.litteratur,15,5773,631
no.spill.sjakk,no.general,15,232,63
no.sport.diverse,no.marked.data,15,3164,378
no.stortinget,no.alt.frustrasjoner,15,1495,626
no.sykkel,no.bil,15,2152,284
no.tegnsett,no.norsk,15,313,139
no.uninett.diverse,no.multimedia,15,82,53
no.uninett.diverse,no.pc,15,82,53
no.uninett.diverse,no.radio_tv,15,82,53
no.unix,no.www,15,2325,766
no.www,no.linux,15,2032,312
no.alt.diskusjoner,no.alt.tegneserier,14,10536,4821
no.alt.diskusjoner,no.linux,14,10536,4821
no.alt.flame,no.jus,14,16830,5387
no.alt.flame,no.norsk,14,16830,5387
no.alt.frustrasjoner,no.speider,14,21167,4522
no.alt.gledesutbrudd,no.eunet.drift,14,6405,1220
no.alt.gledesutbrudd,no.eunet.hjelp,14,6405,1220
no.alt.mat,no.audio,14,2055,461
no.alt.mat,no.eunet.diverse,14,2055,461
no.alt.mat,no.eunet.drift,14,2055,461
no.alt.mat,no.eunet.hjelp,14,2055,461
no.alt.mat,no.jus,14,2055,461
no.alt.mat.drikke,no.it.emacs,14,467,164
no.alt.motorsykler,no.www,14,26896,1305
no.alt.pompel-og-pilt,no.alt.katter,14,215,83
no.alt.pompel-og-pilt,no.alt.mat.drikke,14,215,83
no.alt.pompelog,no.eunet.diverse,14,182,83
no.alt.pompelog,no.eunet.drift,14,182,83
no.alt.pompelog,no.havforskning,14,182,83
no.alt.pompelog,no.jus,14,182,83
no.alt.radio-tv.irma-1000,no.alt.katter,14,108,76
no.alt.radio-tv.irma-1000,no.alt.mat.drikke,14,108,76
no.alt.radio_tv.irma1000,no.radio_tv,14,210,59
no.alt.tegneserier,no.eunet.hjelp,14,1182,354
no.bil,no.biz.annonser,14,3441,496
no.bil,no.religion,14,3441,496
no.biz.annonser,no.alt.motorsykler,14,746,501
no.biz.annonser,no.multimedia,14,746,501
no.biz.nettilbydere,unknown,14,479,145
no.bolig,no.elektronikk,14,357,63
no.elektronikk,no.bolig,14,1832,584
no.elektronikk,no.hobby.diverse,14,1832,584
no.embnet,no.eunet.hjelp,14,178,157
no.eunet.diverse,no.alt.frustrasjoner,14,89,51
no.eunet.diverse,no.alt.mat,14,89,51
no.eunet.diverse,no.alt.pompelog,14,89,51
no.eunet.diverse,no.jus,14,89,51
no.eunet.drift,no.alt.frustrasjoner,14,227,55
no.eunet.drift,no.alt.gledesutbrudd,14,227,55
no.eunet.drift,no.alt.mat,14,227,55
no.eunet.drift,no.alt.pompelog,14,227,55
no.eunet.drift,no.jus,14,227,55
no.eunet.hjelp,no.alt.frustrasjoner,14,327,65
no.eunet.hjelp,no.alt.gledesutbrudd,14,327,65
no.eunet.hjelp,no.alt.mat,14,327,65
no.eunet.hjelp,no.alt.tegneserier,14,327,65
no.eunet.hjelp,no.embnet,14,327,65
no.eunet.hjelp,no.eunet.diverse,14,327,65
no.eunet.hjelp,no.havforskning,14,327,65
no.eunet.hjelp,no.jus,14,327,65
no.film,no.radio_tv,14,6949,1035
no.general,no.alt.arkiv,14,47032,13121
no.havforskning,no.alt.pompelog,14,243,165
no.havforskning,no.eunet.hjelp,14,243,165
no.irc,no.news.drift,14,3970,1022
no.it.diverse,no.www,14,330,168
no.jus,no.alt.mat,14,5232,1998
no.jus,no.alt.pompelog,14,5232,1998
no.jus,no.eunet.hjelp,14,5232,1998
no.marked.jobb,no.marked.bil,14,766,318
no.marked.jobb,no.marked.bolig,14,766,318
no.ms-windows,no.marked.jobb,14,4123,936
no.musikk,no.alt.motorsykler,14,15532,1497
no.musikk,no.medisin,14,15532,1497
no.net,no.standard,14,1110,523
no.news.diverse,no.ms-windows,14,6024,2109
no.prat.politikk,no.musikk,14,2527,1425
no.psykologi,no.slekt,14,1209,553
no.radio-tv,no.spill,14,2524,676
no.radio_tv,no.alt.radio_tv.irma1000,14,909,244
no.radio_tv,no.uninett.diverse,14,909,244
no.slekt,no.alt.frustrasjoner,14,2669,367
no.slekt,no.psykologi,14,2669,367
no.slekt,no.radio_tv,14,2669,367
no.slekt,no.sources.wanted,14,2669,367
no.slekt,no.telepost,14,2669,367
no.sources.wanted,no.slekt,14,53,26
no.sources.wanted,no.telepost,14,53,26
no.speider,no.norsk,14,749,86
no.spill,no.jus,14,5773,631
no.spill,no.linux,14,5773,631
no.spill,no.news.diverse,14,5773,631
no.sport.diverse,no.alt.gledesutbrudd,14,3164,378
no.standard,no.net,14,64,38
no.tegnsett,no.jus,14,313,139
no.tele,no.ms-windows,14,3203,694
no.telepost,no.norsk,14,537,316
no.telepost,no.slekt,14,537,316
no.telepost,no.sources.wanted,14,537,316
no.typografi,no.alt.frustrasjoner,14,164,85
no.typografi,no.norsk,14,164,85
no.uninett.skole,no.alt.frustrasjoner,14,404,145
no.video,no.multimedia,14,216,116
no.www,no.alt.frustrasjoner,14,2032,312
no.x,no.linux,14,212,85
no.ai,no.alt.radio_tv.irma1000,13,158,118
no.alt.arkiv,no.alt.radio_tv.irma1000,13,74,67
no.alt.diskusjoner,no.spill,13,10536,4821
no.alt.frustrasjoner,no.stortinget,13,21167,4522
no.alt.gledesutbrudd,no.irc,13,6405,1220
no.alt.gledesutbrudd,no.marked,13,6405,1220
no.alt.gledesutbrudd,no.sport.diverse,13,6405,1220
no.alt.katter,no.marked,13,1001,143
no.alt.mat,no.multimedia,13,2055,461
no.alt.mat,no.prat.politikk,13,2055,461
no.alt.mat,no.vit.diverse,13,2055,461
no.alt.motorsykler,no.audio,13,26896,1305
no.alt.motorsykler,no.irc,13,26896,1305
no.alt.pompelog,no.alt.flame,13,182,83
no.alt.pompelog,no.alt.katter,13,182,83
no.alt.pompelog,no.alt.mat.drikke,13,182,83
no.alt.radio_tv.irma1000,no.ai,13,210,59
no.alt.radio_tv.irma1000,no.alt.arkiv,13,210,59
no.alt.radio_tv.irma1000,no.alt.flame,13,210,59
no.alt.radio_tv.irma1000,no.alt.katter,13,210,59
no.alt.radio_tv.irma1000,no.alt.mat.drikke,13,210,59
no.audio,no.alt.mat,13,4947,852
no.audio,no.alt.motorsykler,13,4947,852
no.biz.annonser,no.bil,13,746,501
no.biz.annonser,no.biz.diskusjoner,13,746,501
no.biz.diskusjoner,no.ms-windows,13,147,96
no.elektronikk,no.biz.annonser,13,1832,584
no.elektronikk,no.radio_tv,13,1832,584
no.elektronikk,no.tele,13,1832,584
no.film,no.pc,13,6949,1035
no.general,no.nuug,13,47032,13121
no.general,no.tegnsett,13,47032,13121
no.havforskning,no.psykologi,13,243,165
no.irc,no.slekt,13,3970,1022
no.kjemi,no.slekt,13,830,350
no.kryptografi,no.linux,13,330,112
no.linux,no.biz.diskusjoner,13,8833,1209
no.marked,no.alt.flame,13,4847,1840
no.marked.bil,no.biz.annonser,13,204,61
no.marked.bil,no.marked.jobb,13,204,61
no.marked.bolig,no.marked.jobb,13,67,36
no.marked.data,no.video,13,4910,1299
no.marked.jobb,no.ms-windows,13,766,318
no.multimedia,no.alt.mat,13,954,581
no.multimedia,no.biz.annonser,13,954,581
no.multimedia,no.media,13,954,581
no.multimedia,no.video,13,954,581
no.news.diverse,no.bibsys,13,6024,2109
no.news.diverse,no.biz.nettilbydere,13,6024,2109
no.news.diverse,no.bolig,13,6024,2109
no.news.diverse,no.radio-tv,13,6024,2109
