from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.film,no.audio,1258,51355,19630
no.marked,no.marked.jobb,1255,50284,36323
no.mac,no.linux,1235,71238,24654
no.linux,no.marked,1223,55051,23868
no.musikk,no.audio,1219,140052,23221
no.mail.diverse,no.mail.drift,1212,26660,21940
no.marked,no.mac,1201,50284,36323
no.elektronikk,no.marked,1188,24612,17793
no.audio,unknown,1187,47065,21499
no.litteratur,no.general,1187,29283,20463
no.marked.data,no.ms-windows,1186,33874,20913
no.news.diverse,no.mail.diverse,1180,62629,27354
no.marked.jobb,no.marked,1178,20015,16808
no.jus,no.religion,1172,59888,34547
no.musikk,no.general,1167,140052,23221
no.multimedia,no.mac,1166,31206,26667
no.medisin,no.alt.diskusjoner,1165,14388,9060
no.bil,no.elektronikk,1161,31226,13872
no.marked,no.ms-windows,1156,50284,36323
no.alkohol,no.stortinget,1155,26420,13785
no.marked,no.mail.diverse,1151,50284,36323
no.mac,no.mail.drift,1146,71238,24654
no.stortinget,no.alkohol,1143,30197,14787
no.mac,no.litteratur,1140,71238,24654
no.mac,no.mail.diverse,1140,71238,24654
no.marked.data,no.biz.annonser,1138,33874,20913
no.linux,no.pc,1128,55051,23868
no.sykkel,no.alt.frustrasjoner,1127,9200,1677
no.marked,no.mail.drift,1124,50284,36323
no.marked,no.general,1122,50284,36323
no.alt.flame,no.alt.frustrasjoner,1121,156932,49658
no.audio,no.marked,1121,47065,21499
no.mac,no.kjemi,1121,71238,24654
no.marked,no.kjemi,1114,50284,36323
no.alt.diskusjoner,no.medisin,1110,168368,81207
no.mail.diverse,no.marked,1101,26660,21940
no.marked,no.audio,1100,50284,36323
no.marked,no.litteratur,1092,50284,36323
no.mail.drift,no.marked,1089,20201,18601
no.c,no.ef,1086,23413,17227
no.ef,no.c,1086,29077,23384
no.biz.annonser,no.marked.data,1083,6978,4924
no.audio,no.musikk,1079,47065,21499
no.elektronikk,no.pc,1078,24612,17793
no.kjemi,no.alt.diskusjoner,1078,25136,21500
no.marked,no.elektronikk,1075,50284,36323
no.mail.drift,no.kjemi,1073,20201,18601
no.pc,no.mac,1072,72503,28078
no.psykologi,no.religion,1069,17960,9534
no.litteratur,no.kjemi,1059,29283,20463
no.mail.drift,no.mac,1058,20201,18601
no.mail.diverse,no.linux,1057,26660,21940
no.alt.motorsykler,no.elektronikk,1056,272638,18101
no.linux,no.multimedia,1055,55051,23868
no.mail.diverse,no.kjemi,1055,26660,21940
no.mac,no.marked.jobb,1049,71238,24654
no.kjemi,no.marked,1042,25136,21500
no.linux,no.mail.diverse,1041,55051,23868
no.embnet,no.c,1038,17286,16200
no.linux,no.mac,1038,55051,23868
