from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.alt.pompelog,no.alt.mat,171,4872,4129
no.general,no.eunet.drift,171,572652,195646
no.mac,no.tegnsett,171,71238,24654
no.alkohol,no.alt.gledesutbrudd,170,26420,13785
no.marked.data,no.it.diverse,170,33874,20913
no.alt.gledesutbrudd,no.alkohol,169,34672,9680
no.alt.gledesutbrudd,no.alt.config,169,34672,9680
no.musikk,no.pc,169,140052,23221
no.alt.config,no.alt.flame,168,6324,4840
no.stortinget,no.telepost,168,30197,14787
no.tegnsett,no.mac,168,2870,1883
no.telepost,no.alt.flame,168,7580,5114
no.alt.flame,no.irc,167,156932,49658
no.alt.config,no.alt.katter,166,6324,4840
no.alt.mat,no.alt.config,166,13614,6912
no.alt.mat,no.alt.pompelog,166,13614,6912
no.marked.diskusjon,no.marked.data,166,884,728
no.alt.frustrasjoner,no.sport.diverse,165,142818,41663
no.general,no.eunet.hjelp,165,572652,195646
no.vitser,no.stortinget,165,23838,5996
no.alt.flame,no.alt.god.jul,164,156932,49658
no.alt.motorsykler,no.www,164,272638,18101
no.ms-windows,no.it.diverse,164,21902,9781
no.alt.frustrasjoner,no.mac,162,142818,41663
no.mail.drift,no.news.diverse,162,20201,18601
no.marked,no.news.diverse,162,50284,36323
no.elektronikk,no.slekt,161,24612,17793
no.eunet.diverse,no.audio,161,3074,2762
no.news.drift,no.mac,161,6403,5345
no.norsk,no.alt.gledesutbrudd,161,107590,28991
no.norsk,no.mail.diverse,161,107590,28991
no.pc,no.amiga,161,72503,28078
no.radio-tv,no.jus,161,15586,5574
no.kjemi,no.news.diverse,160,25136,21500
no.alkohol,no.alt.arkiv,159,26420,13785
no.irc,no.spill,159,53520,29112
no.mail.drift,no.news.drift,158,20201,18601
no.spill,no.slekt,158,30675,6456
no.www,no.tele,158,14654,2747
no.alt.irc-treff,no.general,157,4087,944
no.eunet.diverse,no.general,157,3074,2762
no.general,no.biz.diskusjoner,157,572652,195646
no.medisin,no.jus,157,14388,9060
no.spill,no.sport.diverse,157,30675,6456
no.alt.arkiv,no.alkohol,156,2971,2714
no.kjemi,no.pc,156,25136,21500
no.musikk,no.norsk,156,140052,23221
no.perl,no.unix,156,3503,972
no.alt.config,no.alt.god.jul,155,6324,4840
no.news.drift,no.mail.drift,155,6403,5345
no.tele,no.www,155,19324,7115
no.alt.frustrasjoner,no.alt.katter,154,142818,41663
no.alt.frustrasjoner,no.unix,154,142818,41663
no.alt.motorsykler,no.alkohol,154,272638,18101
no.alt.flame,no.tele,153,156932,49658
no.musikk,no.alt.frustrasjoner,153,140052,23221
no.religion,no.alt.gledesutbrudd,153,143204,29159
no.skole.diverse,no.prat.seksualitet,153,7597,5491
no.audio,no.eunet.diverse,152,47065,21499
no.ms-windows,no.elektronikk,152,21902,9781
no.sport.diverse,no.spill,152,15689,4266
no.test,unknown,152,1919,307
no.uninett.diverse,no.general,152,1453,1230
no.alt.diskusjoner,no.ai,151,168368,81207
no.alt.gledesutbrudd,no.religion,151,34672,9680
no.pc,no.litteratur,151,72503,28078
no.spill,no.elektronikk,151,30675,6456
no.unix,no.mail.diverse,151,14256,4998
no.alkohol,no.alt.motorsykler,150,26420,13785
no.alt.config,no.alt.pompelog,150,6324,4840
no.linux,no.news.diverse,150,55051,23868
no.mac,no.alt.frustrasjoner,150,71238,24654
no.pc,no.mail.drift,150,72503,28078
no.pc,no.nuug,150,72503,28078
no.psykologi,no.norsk,150,17960,9534
no.alt.katter,no.alt.config,149,5789,2679
no.pc,no.audio,149,72503,28078
no.spill,no.irc,149,30675,6456
no.unix,no.alt.frustrasjoner,149,14256,4998
no.alt.tegneserier,no.alt.motorsykler,148,18956,14973
no.psykologi,no.litteratur,148,17960,9534
no.stortinget,no.tele,148,30197,14787
no.alt.diskusjoner,no.biz.annonser,146,168368,81207
no.alt.katter,unknown,146,5789,2679
no.general,no.alt.irc-treff,146,572652,195646
no.norsk,no.news.drift,146,107590,28991
no.news.drift,no.musikk,145,6403,5345
no.ai,no.alt.gledesutbrudd,144,3748,2988
no.norsk,no.mac,144,107590,28991
no.vit.diverse,no.general,144,3710,1319
no.vitser,no.prat.politikk,144,23838,5996
no.alt.diskusjoner,no.prat.narkotika,143,168368,81207
no.alt.pompelog,no.c,143,4872,4129
no.alt.pompelog,no.ef,143,4872,4129
no.alt.tegneserier,no.alt.frustrasjoner,143,18956,14973
no.sport.diverse,no.uninett.diverse,143,15689,4266
no.alkohol,no.ai,142,26420,13785
no.alt.gledesutbrudd,no.ai,142,34672,9680
no.alt.god.jul,no.vit.diverse,142,14888,13251
no.student.nett,no.student.samfund,142,947,527
no.alt.config,unknown,141,6324,4840
no.alt.gledesutbrudd,no.alt.radio_tv.irma1000,141,34672,9680
no.general,no.it.diverse,141,572652,195646
no.mswindow,no.pc,141,1132,348
no.alt.arkiv,no.alt.flame,140,2971,2714
no.jus,no.psykologi,140,59888,34547
no.net,no.nuug,140,23765,19184
no.perl,no.general,140,3503,972
no.alt.gledesutbrudd,no.alt.arkiv,139,34672,9680
no.alt.mat.drikke,no.alt.motorsykler,139,3508,2315
no.alt.pompelog,no.alt.radio_tv.irma1000,139,4872,4129
no.mac,no.norsk,139,71238,24654
no.pc,no.mswindow,139,72503,28078
no.spill,no.marked.data,139,30675,6456
no.vitser,no.news.diverse,139,23838,5996
no.alt.frustrasjoner,no.alt.tegneserier,138,142818,41663
no.lisp,unknown,138,12384,10668
no.marked.data,no.marked.diskusjon,138,33874,20913
no.ai,no.alkohol,137,3748,2988
no.alt.gledesutbrudd,no.vitser,137,34672,9680
no.linux,no.folklore.edb,137,55051,23868
no.mail.drift,no.norsk,137,20201,18601
no.marked,no.slekt,137,50284,36323
no.marked.data,no.spill,137,33874,20913
no.student.samfund,no.student.nett,137,701,413
no.alt.god.jul,no.alt.config,136,14888,13251
no.alt.mat,no.ai,136,13614,6912
no.alt.motorsykler,no.alt.pompelog,136,272638,18101
no.alt.motorsykler,no.alt.radio_tv.irma1000,136,272638,18101
no.alt.pompelog,no.alt.motorsykler,136,4872,4129
no.alt.pompelog,no.eunet.hjelp,136,4872,4129
no.kjemi,no.norsk,136,25136,21500
no.musikk,no.alt.flame,136,140052,23221
no.ai,no.alt.config,135,3748,2988
no.ai,no.alt.diskusjoner,135,3748,2988
no.ai,no.alt.frustrasjoner,135,3748,2988
no.alt.arkiv,no.ai,135,2971,2714
no.alt.arkiv,no.alt.frustrasjoner,135,2971,2714
no.alt.config,no.ai,135,6324,4840
no.alt.mat,no.alt.arkiv,135,13614,6912
no.sport.diverse,no.biz.annonser,135,15689,4266
no.uninett.diverse,no.alt.diskusjoner,135,1453,1230
no.ai,no.alt.arkiv,134,3748,2988
no.alkohol,no.alt.mat.drikke,134,26420,13785
no.alt.mat,no.alt.radio_tv.irma1000,134,13614,6912
no.vitser,no.alt.gledesutbrudd,134,23838,5996
no.www,no.it.diverse,134,14654,2747
no.ai,no.alt.mat,133,3748,2988
no.alt.arkiv,no.alt.mat,133,2971,2714
no.audio,no.pc,133,47065,21499
no.c,no.unix,133,23413,17227
no.irc,no.pc,133,53520,29112
no.mail.drift,no.nuug,133,20201,18601
no.mail.drift,no.pc,133,20201,18601
no.news.drift,no.multimedia,133,6403,5345
no.pc,no.radio_tv,133,72503,28078
no.alkohol,no.alt.god.jul,132,26420,13785
no.alt.arkiv,no.alt.gledesutbrudd,132,2971,2714
no.litteratur,no.pc,132,29283,20463
no.pc,no.slekt,132,72503,28078
no.alt.katter,no.general,131,5789,2679
no.alt.pompel-og-pilt,unknown,131,13193,12415
no.litteratur,no.nuug,131,29283,20463
no.radio_tv,unknown,131,6092,3057
no.unix,no.folklore.edb,131,14256,4998
no.alkohol,no.alt.pompelog,130,26420,13785
no.it.diverse,no.biz.annonser.data,130,2530,1534
no.mac,no.nuug,130,71238,24654
no.pc,no.folklore.edb,130,72503,28078
no.tele,no.elektronikk,130,19324,7115
no.www,no.net,130,14654,2747
no.alt.flame,no.telepost,129,156932,49658
no.alt.frustrasjoner,no.alt.mat.drikke,129,142818,41663
no.it.diverse,no.ms-windows,129,2530,1534
no.linux,no.news.drift,129,55051,23868
no.mail.drift,unknown,129,20201,18601
no.marked,no.biz.annonser.data,129,50284,36323
no.news.drift,no.kjemi,129,6403,5345
no.news.drift,no.linux,129,6403,5345
no.news.drift,no.marked,129,6403,5345
no.news.drift,no.musikk.gitar,129,6403,5345
no.alt.frustrasjoner,no.prat.seksualitet,128,142818,41663
no.alt.mat,no.film,128,13614,6912
no.alt.pompelog,no.alkohol,128,4872,4129
no.alt.pompelog,no.alt.config,128,4872,4129
no.alt.pompelog,no.general,128,4872,4129
no.org.efn.diskusjon,no.kryptografi,128,11860,7006
no.alt.frustrasjoner,no.c,127,142818,41663
no.alt.frustrasjoner,no.ef,127,142818,41663
no.alt.sjokolade,no.alt.gledesutbrudd,127,1923,847
no.biz.annonser,unknown,127,6978,4924
no.musikk,no.biz.annonser,127,140052,23221
no.linux,no.nuug,126,55051,23868
no.news.drift,no.psykologi,126,6403,5345
no.perl,unknown,126,3503,972
no.radio_tv,no.alt.frustrasjoner,126,6092,3057
no.typografi,no.norsk,126,3442,2698
no.alt.irc-treff,no.irc,125,4087,944
no.alt.radio_tv.irma1000,no.alt.gledesutbrudd,125,3234,2591
no.news.drift,no.litteratur,125,6403,5345
no.news.drift,no.nuug,125,6403,5345
no.news.drift,no.pc,125,6403,5345
no.norsk,no.mail.drift,125,107590,28991
no.nuug,no.linux,125,3090,2947
no.pc,no.kjemi,125,72503,28078
no.psykologi,no.mail.diverse,125,17960,9534
no.alt.frustrasjoner,no.embnet,124,142818,41663
no.alt.mat.drikke,no.alt.frustrasjoner,124,3508,2315
no.alt.motorsykler,no.alt.arkiv,124,272638,18101
no.alt.radio_tv.irma1000,no.alt.frustrasjoner,124,3234,2591
no.alt.radio_tv.irma1000,no.alt.mat,124,3234,2591
no.alt.radio_tv.irma1000,no.alt.pompelog,124,3234,2591
no.norsk,no.org.efn.diskusjon,124,107590,28991
no.radio_tv,no.pc,124,6092,3057
no.alt.gledesutbrudd,no.musikk.gitar,123,34672,9680
no.biz.annonser.data,no.it.diverse,123,2365,1608
no.biz.annonser.data,no.marked,123,2365,1608
no.ef,no.norsk,123,29077,23384
no.general,no.typografi,123,572652,195646
no.mac,no.vitser,123,71238,24654
no.marked,no.sport.diverse,123,50284,36323
no.norsk,no.radio-tv,123,107590,28991
no.pc,no.psykologi,123,72503,28078
no.psykologi,no.news.diverse,123,17960,9534
no.alt.frustrasjoner,no.marked.jobb,122,142818,41663
no.alt.mat.drikke,no.alkohol,122,3508,2315
no.multimedia,no.slekt,122,31206,26667
no.norsk,no.nuug,122,107590,28991
no.prat.narkotika,no.stortinget,122,19057,7971
no.alt.god.jul,unknown,121,14888,13251
no.alt.radio_tv.irma1000,no.alt.motorsykler,121,3234,2591
no.alt.tegneserier,no.norsk,121,18956,14973
no.embnet,no.eunet.drift,121,17286,16200
no.eunet.hjelp,no.c,121,3090,2350
no.eunet.hjelp,no.ef,121,3090,2350
no.kryptografi,no.org.efn.diskusjon,121,2038,983
no.mail.diverse,no.nuug,121,26660,21940
no.marked,no.nuug,121,50284,36323
no.multimedia,no.nuug,121,31206,26667
no.norsk,no.sport.diverse,121,107590,28991
no.psykologi,no.pc,121,17960,9534
no.sport.diverse,no.alt.frustrasjoner,121,15689,4266
no.uninett.skole,no.alt.gledesutbrudd,121,3275,1722
no.general,no.alt.katter,120,572652,195646
no.jus,no.nuug,120,59888,34547
no.net,no.psykologi,120,23765,19184
no.psykologi,no.multimedia,120,17960,9534
no.alt.arkiv,no.alt.motorsykler,119,2971,2714
no.alt.diskusjoner,no.alt.radio_tv.irma1000,119,168368,81207
no.alt.god.jul,no.alkohol,119,14888,13251
no.litteratur,no.psykologi,119,29283,20463
no.news.drift,no.org.efn.diskusjon,119,6403,5345
no.nuug,no.net,119,3090,2947
no.nuug,no.norsk,119,3090,2947
no.stortinget,no.news.diverse,119,30197,14787
no.alt.config,no.alt.radio_tv.irma1000,118,6324,4840
no.c,no.eunet.hjelp,118,23413,17227
no.eunet.hjelp,no.alt.pompelog,118,3090,2350
no.havforskning,no.stortinget,118,17004,15678
no.norsk,no.alkohol,118,107590,28991
no.norsk,no.kjemi,118,107590,28991
no.nuug,no.litteratur,118,3090,2947
no.nuug,no.mac,118,3090,2947
no.nuug,no.mail.diverse,118,3090,2947
no.nuug,no.mail.drift,118,3090,2947
no.nuug,no.marked,118,3090,2947
no.nuug,no.multimedia,118,3090,2947
no.nuug,no.pc,118,3090,2947
no.pc,no.sport.diverse,118,72503,28078
no.spill,no.biz.annonser,118,30675,6456
no.alt.sjokolade,no.alt.frustrasjoner,117,1923,847
no.alt.tegneserier,no.eunet.drift,117,18956,14973
no.eunet.diverse,no.eunet.drift,117,3074,2762
no.eunet.diverse,no.havforskning,117,3074,2762
no.it.diverse,no.biz.annonser,117,2530,1534
no.mail.diverse,no.psykologi,117,26660,21940
no.medisin,unknown,117,14388,9060
no.musikk.gitar,unknown,117,15536,12739
no.biz.annonser,no.biz.nettilbydere,116,6978,4924
no.c,no.alt.pompelog,116,23413,17227
no.ef,no.alt.config,116,29077,23384
no.ef,no.eunet.hjelp,116,29077,23384
no.pc,no.news.drift,116,72503,28078
no.prat.politikk,no.alkohol,116,51683,26609
no.sport.diverse,no.pc,116,15689,4266
no.biz.annonser,no.it.diverse,115,6978,4924
no.c,no.eunet.drift,115,23413,17227
no.ef,no.eunet.drift,115,29077,23384
no.eunet.hjelp,no.eunet.drift,115,3090,2350
no.news.diverse,no.stortinget,115,62629,27354
no.psykologi,no.kjemi,115,17960,9534
no.stortinget,no.kjemi,115,30197,14787
no.alt.frustrasjoner,no.alt.sjokolade,114,142818,41663
no.alt.frustrasjoner,no.havforskning,114,142818,41663
no.alt.gledesutbrudd,no.news.diverse,114,34672,9680
no.alt.tegneserier,no.alt.gledesutbrudd,114,18956,14973
no.ef,no.alt.pompelog,114,29077,23384
no.mac,no.psykologi,114,71238,24654
no.mail.drift,no.psykologi,114,20201,18601
no.ms-windows,no.marked.jobb,114,21902,9781
no.net,no.org.efn.diskusjon,114,23765,19184
no.norsk,no.vitser,114,107590,28991
no.psykologi,no.mac,114,17960,9534
no.radio-tv,no.musikk,114,15586,5574
no.stortinget,no.ef,114,30197,14787
no.www,no.news.diverse,114,14654,2747
no.alt.config,no.ef,113,6324,4840
no.musikk.gitar,no.alt.frustrasjoner,113,15536,12739
no.musikk.gitar,no.alt.gledesutbrudd,113,15536,12739
no.pc,no.musikk.gitar,113,72503,28078
no.alt.frustrasjoner,no.audio,112,142818,41663
no.alt.mat.drikke,unknown,112,3508,2315
no.kjemi,no.vit.diverse,112,25136,21500
no.mac,no.news.drift,112,71238,24654
no.multimedia,no.psykologi,112,31206,26667
no.org.efn.diskusjon,no.norsk,112,11860,7006
no.kjemi,no.stortinget,111,25136,21500
no.marked,no.tele,111,50284,36323
no.marked.data,no.biz.nettilbydere,111,33874,20913
no.news.diverse,no.audio,111,62629,27354
no.psykologi,no.news.drift,111,17960,9534
no.biz.annonser,no.spill,110,6978,4924
no.multimedia,no.news.drift,110,31206,26667
no.news.diverse,no.alt.radio-tv.irma-1000,110,62629,27354
no.news.diverse,no.org.efn.diskusjon,110,62629,27354
no.psykologi,no.linux,110,17960,9534
no.psykologi,no.mail.drift,110,17960,9534
no.psykologi,no.marked,110,17960,9534
no.psykologi,no.musikk.gitar,110,17960,9534
no.psykologi,no.net,110,17960,9534
no.psykologi,no.nuug,110,17960,9534
no.alt.flame,no.slekt,109,156932,49658
no.jus,no.prat.seksualitet,109,59888,34547
no.litteratur,no.news.drift,109,29283,20463
no.pc,no.tele,109,72503,28078
no.alt.gledesutbrudd,no.alt.tegneserier,108,34672,9680
no.alt.mat.drikke,no.alt.gledesutbrudd,108,3508,2315
no.alt.mat.drikke,no.alt.katter,108,3508,2315
no.alt.mat.drikke,no.general,108,3508,2315
no.mail.drift,no.org.efn.diskusjon,108,20201,18601
no.musikk.gitar,no.news.drift,108,15536,12739
no.norsk,no.psykologi,108,107590,28991
no.kjemi,no.psykologi,107,25136,21500
no.pc,no.org.efn.diskusjon,107,72503,28078
no.vitser,no.alt.flame,107,23838,5996
no.alt.diskusjoner,no.eunet.hjelp,106,168368,81207
no.eunet.drift,no.eunet.hjelp,106,2743,2106
no.kjemi,no.news.drift,106,25136,21500
no.marked,no.news.drift,106,50284,36323
no.norsk,no.musikk.gitar,106,107590,28991
no.religion,no.org.efn.diskusjon,106,143204,29159
no.alt.katter,no.alt.mat.drikke,105,5789,2679
no.alt.motorsykler,no.ai,105,272638,18101
no.musikk,no.marked.bolig,105,140052,23221
no.tegnsett,no.linux,105,2870,1883
no.alt.diskusjoner,no.c,104,168368,81207
no.alt.pompelog,no.net,104,4872,4129
no.alt.pompelog,no.news.drift,104,4872,4129
no.org.efn.diskusjon,no.kjemi,104,11860,7006
no.org.efn.diskusjon,no.linux,104,11860,7006
no.org.efn.diskusjon,no.litteratur,104,11860,7006
no.org.efn.diskusjon,no.mac,104,11860,7006
no.org.efn.diskusjon,no.mail.diverse,104,11860,7006
no.org.efn.diskusjon,no.mail.drift,104,11860,7006
no.org.efn.diskusjon,no.marked,104,11860,7006
no.org.efn.diskusjon,no.multimedia,104,11860,7006
no.org.efn.diskusjon,no.net,104,11860,7006
no.org.efn.diskusjon,no.news.drift,104,11860,7006
no.org.efn.diskusjon,no.nuug,104,11860,7006
no.org.efn.diskusjon,no.pc,104,11860,7006
no.org.efn.diskusjon,no.psykologi,104,11860,7006
no.psykologi,no.org.efn.diskusjon,104,17960,9534
no.alkohol,no.norsk,103,26420,13785
no.linux,no.www,103,55051,23868
no.litteratur,no.org.efn.diskusjon,103,29283,20463
no.mac,no.org.efn.diskusjon,103,71238,24654
no.org.efn.diskusjon,no.musikk.gitar,103,11860,7006
no.unix,no.c,103,14256,4998
no.video,no.multimedia,103,1701,1028
no.alt.flame,no.alt.sjokolade,102,156932,49658
no.alt.flame,no.musikk.gitar,102,156932,49658
no.alt.gledesutbrudd,no.alt.mat.drikke,102,34672,9680
no.alt.radio-tv.irma-1000,unknown,102,12006,11504
no.it.diverse,unknown,102,2530,1534
no.kjemi,no.nuug,102,25136,21500
no.linux,no.psykologi,102,55051,23868
no.marked,no.psykologi,102,50284,36323
no.musikk.gitar,no.norsk,102,15536,12739
no.musikk.gitar,no.pc,102,15536,12739
no.alt.flame,no.marked.jobb,101,156932,49658
no.alt.gledesutbrudd,no.alt.sjokolade,101,34672,9680
no.eunet.hjelp,no.alt.diskusjoner,101,3090,2350
no.eunet.hjelp,no.general,101,3090,2350
no.marked.bil,no.marked,101,1434,1075
no.medisin,no.alkohol,101,14388,9060
no.ai,no.alt.pompelog,100,3748,2988
no.alt.arkiv,no.alt.pompelog,100,2971,2714
no.alt.katter,no.alt.gledesutbrudd,100,5789,2679
no.vit.diverse,no.alt.diskusjoner,100,3710,1319
no.alt.god.jul,no.alt.frustrasjoner,99,14888,13251
no.nuug,no.jus,99,3090,2947
no.nuug,no.kjemi,99,3090,2947
no.nuug,no.musikk.gitar,99,3090,2947
no.nuug,no.news.drift,99,3090,2947
no.nuug,no.psykologi,99,3090,2947
no.pc,no.video,99,72503,28078
no.alkohol,no.alt.radio_tv.irma1000,98,26420,13785
no.marked.bolig,no.marked,98,1234,1102
no.multimedia,no.alt.config,98,31206,26667
no.musikk.gitar,no.nuug,98,15536,12739
no.ai,no.alt.motorsykler,97,3748,2988
no.alt.diskusjoner,no.alt.katter,97,168368,81207
no.alt.diskusjoner,no.alt.mat.drikke,97,168368,81207
no.alt.frustrasjoner,no.lisp,97,142818,41663
no.alt.gledesutbrudd,no.alt.katter,97,34672,9680
no.musikk.gitar,no.psykologi,97,15536,12739
no.news.diverse,no.lisp,97,62629,27354
no.pc,no.hobby.diverse,97,72503,28078
no.kjemi,no.org.efn.diskusjon,96,25136,21500
no.linux,no.org.efn.diskusjon,96,55051,23868
no.mail.diverse,no.org.efn.diskusjon,96,26660,21940
no.marked,no.marked.bil,96,50284,36323
no.marked,no.org.efn.diskusjon,96,50284,36323
no.multimedia,no.org.efn.diskusjon,96,31206,26667
no.nuug,no.org.efn.diskusjon,96,3090,2947
no.spill,no.radio_tv,96,30675,6456
no.www,no.marked,96,14654,2747
no.alt.sjokolade,no.alt.flame,95,1923,847
no.alt.sjokolade,no.marked.jobb,95,1923,847
no.alt.sjokolade,no.musikk.gitar,95,1923,847
no.alt.sjokolade,no.news.diverse,95,1923,847
no.alt.sjokolade,no.vitser,95,1923,847
no.biz.annonser,no.mac,95,6978,4924
no.general,no.student.nett,95,572652,195646
no.marked,no.marked.bolig,95,50284,36323
no.musikk,no.bolig,95,140052,23221
no.radio-tv,no.multimedia,95,15586,5574
no.alt.frustrasjoner,no.eunet.diverse,94,142818,41663
no.alt.frustrasjoner,no.eunet.drift,94,142818,41663
no.alt.frustrasjoner,no.eunet.hjelp,94,142818,41663
no.alt.frustrasjoner,no.org.efn.diskusjon,94,142818,41663
no.alt.pompelog,no.ai,94,4872,4129
no.alt.pompelog,no.alt.arkiv,94,4872,4129
no.linux,no.alt.gledesutbrudd,94,55051,23868
no.multimedia,no.news.diverse,94,31206,26667
no.musikk.gitar,no.alt.flame,94,15536,12739
no.musikk.gitar,no.alt.sjokolade,94,15536,12739
no.musikk.gitar,no.vitser,94,15536,12739
no.news.diverse,no.alt.sjokolade,94,62629,27354
no.alt.gledesutbrudd,no.marked.jobb,93,34672,9680
no.net,no.alt.arkiv,93,23765,19184
no.alkohol,no.alt.flame,92,26420,13785
no.biz.annonser,no.alt.diskusjoner,92,6978,4924
no.eunet.drift,no.eunet.diverse,92,2743,2106
no.hobby.diverse,no.video,92,3441,2826
no.musikk,no.nuug,92,140052,23221
no.video,no.hobby.diverse,92,1701,1028
no.alt.frustrasjoner,no.kjemi,91,142818,41663
no.alt.frustrasjoner,no.religion,91,142818,41663
no.biz.diskusjoner,no.general,91,1933,1624
no.c,no.alt.diskusjoner,91,23413,17227
no.general,no.vr,91,572652,195646
no.havforskning,no.eunet.diverse,91,17004,15678
no.havforskning,no.eunet.drift,91,17004,15678
no.mac,no.biz.annonser,91,71238,24654
no.musikk.gitar,no.org.efn.diskusjon,91,15536,12739
no.sport.diverse,no.multimedia,91,15689,4266
no.video,no.pc,91,1701,1028
no.alt.frustrasjoner,no.multimedia,90,142818,41663
no.alt.radio-tv.irma-1000,no.alt.diskusjoner,90,12006,11504
no.eunet.drift,no.alt.tegneserier,90,2743,2106
no.eunet.drift,no.c,90,2743,2106
no.eunet.drift,no.ef,90,2743,2106
no.eunet.drift,no.embnet,90,2743,2106
no.eunet.drift,no.havforskning,90,2743,2106
no.kjemi,no.alkohol,90,25136,21500
no.spill.rollespill,unknown,90,2573,166
no.tele,no.vitser,90,19324,7115
no.vitser,no.norsk,90,23838,5996
no.alt.god.jul,no.alt.mat,89,14888,13251
no.alt.katter,no.alt.frustrasjoner,89,5789,2679
no.alt.mat,no.alt.flame,89,13614,6912
no.alt.radio_tv.irma1000,no.alt.diskusjoner,89,3234,2591
no.biz.diskusjoner,no.c,89,1933,1624
no.eunet.hjelp,no.net,89,3090,2350
no.eunet.hjelp,no.news.drift,89,3090,2350
no.hobby.diverse,no.pc,89,3441,2826
no.it.diverse,no.marked,89,2530,1534
no.medisin,no.net,89,14388,9060
no.ms-windows,no.slekt,89,21902,9781
no.multimedia,no.sport.diverse,89,31206,26667
no.net,no.medisin,89,23765,19184
no.slekt.etterlysning,no.slekt,89,2120,149
no.telepost,unknown,89,7580,5114
no.alt.gledesutbrudd,no.alt.god.jul,88,34672,9680
no.alt.mat,no.alt.god.jul,88,13614,6912
no.alt.motorsykler,no.alt.mat.drikke,88,272638,18101
no.alt.radio-tv.irma-1000,no.alt.arkiv,88,12006,11504
no.alt.radio-tv.irma-1000,no.alt.config,88,12006,11504
no.alt.radio-tv.irma-1000,no.alt.flame,88,12006,11504
no.folklore.edb,no.norsk.fagord,88,2185,1647
no.marked,no.biz.nettilbydere,88,50284,36323
no.speider,unknown,88,4784,1847
no.vitser,no.alt.sjokolade,88,23838,5996
no.vitser,no.marked.jobb,88,23838,5996
no.vitser,no.musikk.gitar,88,23838,5996
no.alt.diskusjoner,no.alt.god.jul,87,168368,81207
no.alt.frustrasjoner,no.mail.drift,87,142818,41663
no.alt.god.jul,no.alt.gledesutbrudd,87,14888,13251
no.alt.motorsykler,no.alt.god.jul,87,272638,18101
no.alt.radio_tv.irma1000,no.alkohol,87,3234,2591
no.alt.radio_tv.irma1000,no.alt.config,87,3234,2591
no.biz.diskusjoner,no.ef,87,1933,1624
no.it.diverse,no.marked.jobb,87,2530,1534
no.litteratur,no.news.diverse,87,29283,20463
no.news.diverse,no.alt.arkiv,87,62629,27354
no.news.drift,no.c,87,6403,5345
no.news.drift,no.ef,87,6403,5345
no.news.drift,no.eunet.hjelp,87,6403,5345
no.prat.ufo,unknown,87,4761,628
no.uninett.diverse,no.biz.annonser,87,1453,1230
no.uninett.diverse,no.sport.diverse,87,1453,1230
no.alt.flame,no.ef,86,156932,49658
no.alt.flame,no.religion,86,156932,49658
no.alt.frustrasjoner,no.psykologi,86,142818,41663
no.alt.mat,no.alt.katter,86,13614,6912
no.alt.mat.drikke,no.ai,86,3508,2315
no.alt.mat.drikke,no.alt.arkiv,86,3508,2315
no.alt.mat.drikke,no.alt.config,86,3508,2315
no.alt.mat.drikke,no.alt.diskusjoner,86,3508,2315
no.alt.mat.drikke,no.alt.flame,86,3508,2315
no.audio,no.eunet.drift,86,47065,21499
no.c,no.news.drift,86,23413,17227
no.mac,no.alt.config,86,71238,24654
no.marked.jobb,no.news.diverse,86,20015,16808
no.radio-tv,no.norsk,86,15586,5574
no.www,no.linux,86,14654,2747
no.ai,no.alt.flame,85,3748,2988
no.alkohol,no.medisin,85,26420,13785
no.alkohol,no.multimedia,85,26420,13785
no.alt.motorsykler,no.alt.flame,85,272638,18101
no.ms-windows,no.general,85,21902,9781
no.news.drift,unknown,85,6403,5345
no.prat.seksualitet,no.general,85,25183,3836
no.radio_tv,no.spill,85,6092,3057
no.alt.frustrasjoner,no.litteratur,84,142818,41663
no.alt.god.jul,no.alt.motorsykler,84,14888,13251
no.alt.motorsykler,no.biz.annonser,84,272638,18101
no.biz.annonser,no.uninett.diverse,84,6978,4924
no.ef,no.news.drift,84,29077,23384
no.news.drift,no.alt.pompelog,84,6403,5345
no.norsk,no.alt.god.jul,84,107590,28991
no.slekt,no.slekt.etterlysning,84,8720,2814
no.vit.diverse,no.news.diverse,84,3710,1319
no.ai,no.alt.katter,83,3748,2988
no.ai,no.alt.mat.drikke,83,3748,2988
no.alkohol,no.alt.katter,83,26420,13785
no.alt.arkiv,no.alt.katter,83,2971,2714
no.alt.arkiv,no.alt.mat.drikke,83,2971,2714
no.alt.arkiv,no.net,83,2971,2714
no.alt.config,no.alt.mat.drikke,83,6324,4840
no.alt.diskusjoner,no.alt.radio-tv.irma-1000,83,168368,81207
no.alt.flame,no.linux,83,156932,49658
no.alt.frustrasjoner,no.slekt,83,142818,41663
no.alt.katter,no.ai,83,5789,2679
no.alt.katter,no.alkohol,83,5789,2679
no.alt.katter,no.alt.arkiv,83,5789,2679
no.alt.katter,no.alt.diskusjoner,83,5789,2679
no.alt.katter,no.alt.flame,83,5789,2679
no.alt.katter,no.alt.mat,83,5789,2679
no.it.diverse,no.general,83,2530,1534
no.multimedia,no.alkohol,83,31206,26667
no.musikk,no.news.drift,83,140052,23221
no.nuug,no.musikk,83,3090,2947
no.psykologi,no.musikk,83,17960,9534
no.reiser,unknown,83,2299,410
no.uninett.diverse,no.marked,83,1453,1230
