newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.nuug,no.sources.list,164,101,35,0.15217391304347827
no.jus,no.norsk,1851,1962,503,0.15196374622356495
no.alt.radio-tv.irma-1000,no.havforskning,309,397,93,0.15171288743882544
no.prat.politikk,no.religion,1150,1583,360,0.15170670037926676
no.ms-windows,no.www,3235,3452,880,0.15154124332701913
no.alt.frustrasjoner,no.norsk,3039,1962,658,0.15150817407322129
no.irc,no.jus,1472,1851,436,0.15102182196051264
no.general,no.news.diverse,7075,1892,1167,0.14961538461538462
no.alt.pompel-og-pilt,no.havforskning,329,397,94,0.14873417721518986
no.bibsys,no.mail.drift,235,430,86,0.14853195164075994
no.alt.sjokolade,no.bibsys,656,235,115,0.1481958762886598
no.ef,no.irc,567,1472,261,0.14679415073115862
no.sources.list,no.tungregning,101,118,28,0.14659685863874344
no.alt.sjokolade,no.alt.tegneserier,656,1043,217,0.14642375168690958
no.alt.god.jul,no.ef,570,567,145,0.1461693548387097
no.mail.diverse,no.multimedia,993,1383,303,0.14616497829232997
no.standard,no.uninett.katalog,129,68,25,0.14534883720930233
no.alt.frustrasjoner,no.jus,3039,1851,620,0.1451990632318501
no.jus,no.mail.diverse,1851,993,360,0.14492753623188406
no.org.nobug.diverse,no.uninett.katalog,90,68,20,0.14492753623188406
no.alt.pompel-og-pilt,no.mail.drift,329,430,96,0.14479638009049775
no.news.diverse,no.prat.politikk,1892,1150,384,0.14446952595936793
no.embnet,no.kjemi,260,745,126,0.14334470989761092
no.alt.god.jul,no.embnet,570,260,104,0.14325068870523416
no.alt.radio-tv.irma-1000,no.ef,309,567,109,0.1421121251629726
no.standard,no.tegnsett,129,249,47,0.1419939577039275
no.alt.tegneserier,no.ef,1043,567,200,0.14184397163120568
no.general,no.norsk,7075,1962,1121,0.14161192521475494
no.jus,no.prat.politikk,1851,1150,372,0.1414986686953214
no.net,no.news.drift,1216,379,197,0.14091559370529327
no.litteratur,no.norsk,1532,1962,431,0.1407117205354228
no.general,no.jus,7075,1851,1097,0.14012006641972155
no.norsk,no.prat.politikk,1962,1150,382,0.13992673992673993
