label,value,count
messages ia,3f6afc78d4782ac825a0f364ca3fd796,5981974
messages nb,8d2edec4ab8f11adb61d9dcaee5ec81a,613016
last user id from IA,236756,
users numbered during IA,d419461b4123e9d2cb67a5159be8f870,236756
users numbered after IA,7e8629a0aedf70841d5ef1fa0b0bd8f5,14075
