from_newsgroup,to_newsgroup,number_of_references
no.spill.rollespill,unknown,176
no.alt.frustrasjoner,no.norsk,175
no.hobby.diverse,no.general,175
no.news.diverse,no.alt.frustrasjoner,175
no.norsk,no.alt.frustrasjoner,175
no.jus,unknown,174
no.radio-tv,no.film,174
no.marked.data,no.ms-windows,173
no.it.os.os2,unknown,172
no.alt.gledesutbrudd,unknown,169
no.mac,no.marked,169
no.norsk,no.jus,168
no.marked,no.mac,167
no.film,no.video,166
no.linux,no.marked,164
no.marked,no.linux,164
no.news.diverse,unknown,164
no.alt.frustrasjoner,no.vitser,163
no.musikk.gitar,no.musikk,163
no.audio,no.general,162
no.audio,no.musikk,162
no.mail.diverse,no.mail.drift,162
no.mail.drift,no.mail.diverse,162
no.marked,no.marked.jobb,161
no.mac,no.multimedia,160
no.marked.jobb,no.marked,160
no.psykologi,no.general,160
no.multimedia,no.mac,158
no.pc,no.net,158
no.linux,no.general,156
no.marked,no.ms-windows,156
no.alt.tegneserier,no.general,155
no.elektronikk,no.audio,154
no.musikk,no.musikk.gitar,154
no.video,no.audio,154
no.audio,unknown,153
no.slekt,unknown,153
no.general,no.c,152
no.general,no.uninett.diverse,152
no.linux,no.net,151
no.media,no.multimedia,151
no.net,no.linux,151
no.www,no.marked,150
no.alt.diskusjoner,no.www,149
no.www,no.ms-windows,149
no.marked.data,no.multimedia,148
no.alt.katter,unknown,147
no.ms-windows,no.multimedia,147
no.audio,no.multimedia,146
no.general,no.kjemi,146
no.news.diverse,no.mail.diverse,146
no.alt.frustrasjoner,no.jus,145
no.multimedia,no.marked.data,145
no.vit.diverse,unknown,145
no.ms-windows,no.www,144
no.www,no.net,144
no.general,no.sport.diverse,143
no.multimedia,no.audio,143
no.net,no.pc,143
no.it.diverse,no.pc,142
no.norsk,no.alt.diskusjoner,142
no.uninett.diverse,no.general,142
no.alt.diskusjoner,no.marked,141
no.audio,no.elektronikk,141
no.kjemi,no.general,141
no.spill,unknown,141
no.sport.diverse,no.general,141
no.alt.frustrasjoner,no.radio-tv,140
no.mail.diverse,no.marked,140
no.prat.aksjer,unknown,140
no.alt.flame,no.alt.frustrasjoner,139
no.ef,no.c,139
no.general,no.biz.annonser,139
no.alt.diskusjoner,no.pc,138
no.alt.frustrasjoner,no.alt.flame,138
no.alt.katter,no.alt.motorsykler,138
no.general,no.medisin,138
no.pc,no.biz.annonser.data,138
