from_newsgroup,to_newsgroup,number_of_references
no.sykkel,no.alt.frustrasjoner,127
no.alt.diskusjoner,no.marked,126
no.alt.diskusjoner,no.pc,126
no.kjemi,no.litteratur,126
no.mail.diverse,no.net,126
no.musikk,no.multimedia,126
no.alt.frustrasjoner,no.alt.flame,125
no.mail.diverse,no.linux,125
no.marked.data,no.ms-windows,124
no.general,no.c,123
no.net,no.mail.diverse,123
no.stortinget,no.prat.politikk,123
no.alt.diskusjoner,no.alt.flame,122
no.alt.frustrasjoner,no.sykkel,122
no.ms-windows,no.marked,122
no.prat.politikk,unknown,122
no.kjemi,no.marked,121
no.litteratur,no.kjemi,121
no.linux,no.multimedia,119
no.mail.drift,no.marked,119
no.marked,no.kjemi,119
no.linux,no.litteratur,118
no.litteratur,no.multimedia,118
no.mac,no.mail.drift,118
no.mac,no.news.diverse,118
no.marked,no.mail.drift,118
no.multimedia,no.litteratur,118
no.psykologi,no.general,118
no.kjemi,no.mail.diverse,117
no.kjemi,no.mail.drift,117
no.litteratur,no.marked,117
no.mac,no.litteratur,117
no.mail.drift,no.mac,117
no.marked,no.litteratur,117
no.multimedia,no.linux,117
no.psykologi,no.religion,117
no.mail.drift,no.kjemi,116
no.marked,no.ms-windows,116
no.multimedia,no.marked.data,116
no.litteratur,no.linux,115
no.mac,no.mail.diverse,115
no.mail.diverse,no.kjemi,115
no.prat.narkotika,no.general,115
no.radio-tv,no.film,115
no.alt.tegneserier,no.general,114
no.embnet,no.c,114
no.kjemi,no.linux,114
no.linux,no.kjemi,114
no.litteratur,no.mac,114
no.mail.drift,no.linux,114
no.ef,no.embnet,113
no.mail.diverse,no.mac,113
no.audio,no.elektronikk,112
no.c,no.embnet,112
no.embnet,no.ef,112
no.linux,no.mail.drift,112
no.mac,no.kjemi,112
no.marked.data,no.multimedia,112
no.org.efn.diskusjon,no.jus,112
no.alt.gledesutbrudd,no.alt.diskusjoner,111
no.kjemi,no.mac,111
no.org.efn.diskusjon,no.irc,111
no.irc,no.org.efn.diskusjon,110
no.multimedia,no.musikk,110
no.pc,no.alt.diskusjoner,110
no.elektronikk,no.audio,109
no.mail.drift,no.litteratur,109
no.litteratur,no.mail.diverse,108
no.litteratur,no.mail.drift,108
no.mail.diverse,no.litteratur,108
no.mail.diverse,no.multimedia,108
no.mail.diverse,no.news.diverse,108
no.marked,no.jus,108
no.multimedia,no.mail.diverse,108
no.elektronikk,unknown,107
no.pc,no.vitser,107
no.bil,no.elektronikk,106
no.general,no.marked.jobb,105
no.litteratur,unknown,105
no.religion,no.psykologi,105
no.spill,no.general,105
no.spill,no.marked,105
no.elektronikk,no.bil,104
no.mail.drift,no.multimedia,104
no.marked,no.alt.diskusjoner,104
no.marked,no.net,104
no.net,no.marked,104
no.general,no.radio_tv,103
no.multimedia,no.mail.drift,103
no.sykkel,unknown,103
no.c,no.general,102
no.jus,no.musikk,102
no.kjemi,no.multimedia,102
no.marked,no.alt.frustrasjoner,102
no.marked,no.spill,102
no.prat.narkotika,no.prat.politikk,102
no.amiga,unknown,101
no.general,no.prat.narkotika,101
no.kjemi,no.medisin,101
no.jus,no.mail.diverse,100
no.multimedia,no.kjemi,100
no.prat.narkotika,no.alt.diskusjoner,100
no.test,unknown,100
no.alt.diskusjoner,no.prat.politikk,99
no.general,no.spill,99
no.multimedia,no.marked.jobb,99
no.biz.annonser,no.biz.annonser.data,98
no.jus,no.linux,98
no.marked.jobb,no.multimedia,98
no.norsk,no.news.diverse,98
no.medisin,no.kjemi,97
no.alt.frustrasjoner,no.alt.mat,96
no.irc,no.havforskning,96
no.jus,no.norsk,96
no.musikk,no.mac,95
no.radio_tv,no.general,95
no.alt.tegneserier,unknown,94
no.biz.annonser.data,no.biz.annonser,94
no.unix,no.general,94
no.vitser,no.general,94
no.alt.diskusjoner,no.multimedia,93
no.alt.tegneserier,no.film,93
no.embnet,no.havforskning,93
no.general,no.psykologi,93
no.havforskning,no.embnet,93
no.news.diverse,no.norsk,93
no.c,unknown,92
no.havforskning,no.c,92
no.havforskning,no.irc,92
no.kjemi,no.alt.diskusjoner,92
no.news.diverse,no.marked,92
no.prat.politikk,no.prat.narkotika,92
no.c,no.havforskning,91
no.ef,no.havforskning,91
no.general,no.news.drift,91
no.lisp,no.general,91
no.news.diverse,no.news.drift,91
no.alt.frustrasjoner,no.elektronikk,90
no.embnet,no.film,90
no.general,no.alt.tegneserier,90
no.havforskning,no.ef,90
no.linux,no.jus,90
no.mac,no.marked.jobb,90
no.news.diverse,no.musikk,90
no.alt.diskusjoner,no.net,89
no.alt.diskusjoner,no.norsk,89
no.alt.flame,no.spill,89
no.alt.mat,no.alt.frustrasjoner,89
no.alt.motorsykler,no.elektronikk,89
no.film,no.c,89
no.film,no.embnet,89
no.general,no.linux,89
no.irc,no.c,89
no.irc,no.embnet,89
no.marked.jobb,no.general,89
no.multimedia,no.net,89
no.net,no.multimedia,89
no.vitser,no.alt.diskusjoner,89
no.alt.diskusjoner,no.vitser,88
no.alt.flame,no.musikk,88
no.c,no.film,88
no.ef,no.film,88
no.irc,no.film,88
no.mac,no.musikk,88
no.marked.jobb,no.mac,88
no.psykologi,unknown,88
no.alkohol,no.stortinget,87
no.alt.diskusjoner,no.alt.gledesutbrudd,87
no.film,no.irc,87
no.film,no.musikk,87
no.uninett.skole,no.general,87
no.vitser,no.pc,87
no.embnet,no.irc,86
no.film,no.alt.tegneserier,86
no.film,no.ef,86
no.general,no.embnet,86
no.irc,no.ef,86
no.mail.diverse,no.jus,86
no.stortinget,no.alkohol,86
no.film,no.radio-tv,85
no.general,no.biz.annonser,85
no.general,no.uninett.skole,85
no.c,no.irc,84
no.ef,no.irc,84
no.film,no.havforskning,84
no.havforskning,no.film,84
no.jus,no.kjemi,84
no.film,no.marked,83
no.musikk,no.film,83
no.musikk,no.jus,83
no.news.diverse,no.sport.diverse,83
no.alt.frustrasjoner,no.net,82
no.jus,no.net,82
no.marked,no.film,82
no.marked.jobb,no.mail.diverse,82
no.multimedia,no.alt.diskusjoner,82
no.kjemi,no.jus,81
no.mac,no.net,81
no.mail.diverse,no.marked.jobb,81
no.marked.jobb,no.litteratur,81
no.news.diverse,no.pc,81
no.alt.config,no.news.diverse,80
no.alt.mat,unknown,80
no.linux,no.marked.jobb,80
no.litteratur,no.marked.jobb,80
no.mail.drift,no.marked.jobb,80
no.marked.jobb,no.mail.drift,80
no.net,no.alt.diskusjoner,80
no.news.diverse,no.www,80
no.tele,no.alt.diskusjoner,80
no.jus,no.litteratur,79
no.kjemi,no.havforskning,79
no.mail.diverse,unknown,79
no.ms-windows,no.multimedia,79
no.musikk,no.linux,79
no.net,no.mac,79
no.news.diverse,no.alt.config,79
no.news.drift,no.general,79
no.norsk,no.litteratur,79
no.prat.narkotika,unknown,79
no.unix,no.pc,79
no.elektronikk,no.alt.motorsykler,78
no.kjemi,no.marked.jobb,78
no.linux,no.irc,78
no.mac,no.general,78
no.mail.drift,no.net,78
no.marked.jobb,no.linux,78
no.net,no.jus,78
no.net,no.mail.drift,78
no.pc,no.net,78
no.alt.diskusjoner,no.kjemi,77
no.alt.gledesutbrudd,no.alt.mat,77
no.havforskning,no.kjemi,77
no.musikk,no.marked.data,77
no.alt.mat,no.alt.diskusjoner,76
no.alt.motorsykler,no.alt.diskusjoner,76
no.general,no.elektronikk,76
no.jus,no.pc,76
no.alt.config,no.alt.frustrasjoner,75
no.alt.diskusjoner,no.elektronikk,75
no.audio,no.c,75
no.general,no.www,75
no.jus,no.mail.drift,75
no.linux,no.musikk,75
no.litteratur,no.film,75
no.marked.jobb,no.kjemi,75
no.marked.jobb,no.marked.data,75
no.multimedia,no.ms-windows,75
no.musikk,no.news.diverse,75
no.norsk,no.marked,75
no.norsk,no.stortinget,75
no.alt.config,no.general,74
no.alt.tegneserier,no.c,74
no.audio,no.ef,74
no.bil,no.marked,74
no.c,no.audio,74
no.ef,no.audio,74
no.elektronikk,no.alt.frustrasjoner,74
no.general,no.kjemi,74
no.irc,no.linux,74
no.litteratur,no.jus,74
no.litteratur,no.norsk,74
no.marked.data,no.marked.jobb,74
no.marked.data,no.musikk,74
no.news.diverse,no.jus,74
no.news.diverse,no.kjemi,74
no.news.diverse,no.net,74
no.news.diverse,no.telepost,74
no.alt.mat,no.alt.gledesutbrudd,73
no.alt.tegneserier,no.ef,73
no.alt.tegneserier,no.embnet,73
no.jus,no.mac,73
no.news.diverse,no.linux,73
no.spill,no.multimedia,73
no.alt.frustrasjoner,no.alt.config,72
no.audio,no.marked.data,72
no.c,no.alt.tegneserier,72
no.ef,no.alt.tegneserier,72
no.general,no.havforskning,72
no.irc,no.marked,72
no.marked,no.vitser,72
no.news.drift,no.net,72
no.alt.frustrasjoner,no.alt.motorsykler,71
no.audio,no.embnet,71
no.biz.nettilbydere,no.tele,71
no.elektronikk,no.general,71
no.embnet,no.alt.tegneserier,71
no.general,no.sport.diverse,71
no.it.emacs,no.general,71
no.kjemi,no.net,71
no.medisin,no.alt.diskusjoner,71
no.multimedia,no.spill,71
no.norsk,no.pc,71
no.prat.politikk,no.religion,71
no.telepost,no.news.diverse,71
no.embnet,no.audio,70
no.general,no.mac,70
no.mac,no.jus,70
no.net,no.news.drift,70
no.alt.tegneserier,no.audio,69
no.audio,no.alt.tegneserier,69
no.ef,unknown,69
no.elektronikk,no.alt.diskusjoner,69
no.general,no.marked.data,69
no.jus,no.religion,69
no.net,no.kjemi,69
no.net,no.pc,69
no.www,unknown,69
no.alt.diskusjoner,no.alt.motorsykler,68
no.alt.frustrasjoner,no.alkohol,68
no.embnet,no.general,68
no.jus,no.havforskning,68
no.mail.drift,no.jus,68
no.musikk,no.litteratur,68
no.news.drift,no.news.diverse,68
no.pc,no.jus,68
no.spill,no.ms-windows,68
no.alt.diskusjoner,no.audio,67
no.audio,no.alt.diskusjoner,67
no.film,no.litteratur,67
no.litteratur,no.musikk,67
no.marked,no.bil,67
no.marked.data,no.audio,67
no.news.diverse,no.mail.drift,67
no.pc,no.unix,67
no.tele,no.biz.nettilbydere,67
no.video,no.audio,67
no.vitser,no.marked,67
no.alt.config,no.alt.motorsykler,66
no.alt.diskusjoner,no.alt.config,66
no.alt.frustrasjoner,no.radio-tv,66
no.marked,no.irc,66
no.ms-windows,no.spill,66
no.alt.frustrasjoner,no.linux,65
no.alt.motorsykler,no.marked,65
no.biz.annonser,no.general,65
no.havforskning,no.jus,65
no.marked,no.medisin,65
no.marked,no.musikk.gitar,65
no.marked,no.norsk,65
no.net,no.news.diverse,65
no.news.diverse,no.multimedia,65
no.news.diverse,no.slekt,65
no.sport.diverse,no.general,65
no.general,no.vitser,64
no.medisin,no.marked,64
no.musikk.gitar,no.marked,64
no.alt.motorsykler,no.alt.frustrasjoner,63
no.jus,no.multimedia,63
no.net,no.alt.frustrasjoner,63
no.pc,no.mail.diverse,63
no.tele,no.marked,63
no.elektronikk,no.vitser,62
no.it.diverse,no.pc,62
no.linux,no.c,62
no.mac,no.irc,62
no.pc,no.it.diverse,62
no.vitser,no.elektronikk,62
no.alkohol,no.alt.config,61
no.alkohol,no.alt.frustrasjoner,61
no.alt.diskusjoner,no.tele,61
no.alt.god.jul,no.ef,61
no.alt.motorsykler,no.alt.gledesutbrudd,61
no.general,no.lisp,61
no.litteratur,no.net,61
no.musikk,no.mail.diverse,61
no.musikk,no.mail.drift,61
no.net,no.litteratur,61
no.religion,no.prat.politikk,61
no.sport.fotball,unknown,61
no.alt.frustrasjoner,no.musikk,60
no.biz.annonser,no.pc,60
no.ef,no.alt.god.jul,60
no.elektronikk,no.multimedia,60
no.jus,no.news.diverse,60
no.mac,no.ef,60
no.net,no.c,60
no.net,no.ef,60
no.net,no.norsk,60
no.pc,no.biz.annonser,60
no.slekt,no.news.diverse,60
no.tegnsett,no.general,60
no.ef,no.mac,59
no.irc,no.kjemi,59
no.irc,no.mac,59
no.jus,no.ef,59
no.jus,no.marked.data,59
no.linux,no.medisin,59
no.marked,no.biz.annonser.data,59
no.marked.jobb,unknown,59
no.medisin,no.litteratur,59
no.medisin,no.multimedia,59
no.multimedia,no.jus,59
no.multimedia,no.medisin,59
no.musikk,no.kjemi,59
no.norsk,no.linux,59
no.norsk,no.musikk,59
no.org.efn.diskusjon,unknown,59
no.alt.diskusjoner,no.medisin,58
no.alt.god.jul,no.multimedia,58
no.alt.tegneserier,no.havforskning,58
no.biz.annonser.data,no.marked,58
no.litteratur,no.medisin,58
no.mail.diverse,no.pc,58
no.pc,no.news.diverse,58
