newsgroup,undeclared_qp_messages,total_messages
no.ai.mbox,1,436
no.alkohol.mbox,28,4150
no.alt.activeworlds.mbox,0,775
no.alt.amiga.mbox,0,212
no.alt.arkiv.mbox,1,5690
no.alt.bekymringer.mbox,0,2401
no.alt.bilprat.mbox,0,17006
no.alt.bilstereo.mbox,0,3200
no.alt.config.mbox,7,7006
no.alt.diskusjoner.mbox,119,119961
no.alt.diskusjoner.usa.mbox,0,21039
no.alt.ekspartnere.mbox,0,1652
no.alt.fan.de-lillos.mbox,2,599
no.alt.flame.mbox,53,31945
no.alt.fritid.hytteliv.mbox,0,50
no.alt.frustrasjoner.mbox,20,273279
no.alt.geek.pludring.mbox,0,2002
no.alt.gledesutbrudd.mbox,56,91868
no.alt.god.jul.mbox,20,2798
no.alt.gratulerer.mbox,0,78
no.alt.gullkorn.d.mbox,0,400
no.alt.gullkorn.mbox,0,1286
no.alt.hjemmesider.frontpage.mbox,0,2903
no.alt.hjemmesider.mbox,5,49253
no.alt.hundebitt.mbox,0,150
no.alt.hunder.mbox,6,100411
no.alt.irc-treff.mbox,7,1398
no.alt.jenteprat.mbox,0,9156
no.alt.karlsen+spangelid.mbox,0,1160
no.alt.katter.mbox,16,36903
no.alt.maktmisbruk.psykopati.mbox,0,250
no.alt.marked.seksualitet.mbox,0,550
no.alt.mat.drikke.mbox,23,11503
no.alt.mat.mbox,139,45063
no.alt.motorsykler.mbox,6,177968
no.alt.news-treff.mbox,0,8951
no.alt.pludring.intens.mbox,0,100
no.alt.pludring.mbox,13,70325
no.alt.pompel-og-pilt.mbox,41,1093
no.alt.radio-tv.irma-1000.mbox,6,1542
no.alt.rykter.mbox,1,13708
no.alt.sjokolade.mbox,19,5735
no.alt.tegneserier.mbox,51,23412
no.alt.tegneserier.samlerforum.mbox,0,1203
no.alt.troll.mbox,0,353
no.alt.undring.mbox,2,84343
no.amiga.mbox,170,41649
no.annonser.audio-video.mbox,1,14904
no.annonser.bil.mbox,0,16955
no.annonser.bolig.mbox,0,3499
no.annonser.diskusjon.mbox,0,15152
no.annonser.diverse.mbox,1,23728
no.annonser.dyr.mbox,0,2602
no.annonser.foreldre+barn.mbox,0,750
no.annonser.foto.mbox,1,3952
no.annonser.friluftsliv.mbox,0,1501
no.annonser.it.diverse.mbox,2,15649
no.annonser.it.maskinvare.diverse.mbox,2,29151
no.annonser.it.nettilbydere.mbox,0,1250
