newsgroup,message_count
no.ai.mbox,436
no.alkohol.mbox,4150
no.alt.activeworlds.mbox,775
no.alt.amiga.mbox,212
no.alt.arkiv.mbox,5690
no.alt.bekymringer.mbox,2401
no.alt.bilprat.mbox,17006
no.alt.bilstereo.mbox,3200
no.alt.config.mbox,7006
no.alt.diskusjoner.mbox,119961
no.alt.diskusjoner.usa.mbox,21039
no.alt.ekspartnere.mbox,1652
no.alt.fan.de-lillos.mbox,599
no.alt.flame.mbox,31941
no.alt.fritid.hytteliv.mbox,50
no.alt.frustrasjoner.mbox,273271
no.alt.geek.pludring.mbox,2002
no.alt.gledesutbrudd.mbox,91866
no.alt.god.jul.mbox,2798
no.alt.gratulerer.mbox,78
no.alt.gullkorn.mbox,1286
no.alt.gullkorn.d.mbox,400
no.alt.hjemmesider.mbox,49253
no.alt.hjemmesider.frontpage.mbox,2903
no.alt.hundebitt.mbox,150
no.alt.hunder.mbox,100411
no.alt.irc-treff.mbox,1398
no.alt.jenteprat.mbox,9156
no.alt.karlsen+spangelid.mbox,1160
no.alt.katter.mbox,36903
no.alt.maktmisbruk.psykopati.mbox,250
no.alt.marked.seksualitet.mbox,550
no.alt.mat.mbox,45063
no.alt.mat.drikke.mbox,11503
no.alt.motorsykler.mbox,177967
no.alt.news-treff.mbox,8951
no.alt.pludring.mbox,70324
no.alt.pludring.intens.mbox,100
no.alt.pompel-og-pilt.mbox,1093
no.alt.radio-tv.irma-1000.mbox,1542
no.alt.rykter.mbox,13708
no.alt.sjokolade.mbox,5735
no.alt.tegneserier.mbox,23412
no.alt.tegneserier.samlerforum.mbox,1203
no.alt.troll.mbox,353
no.alt.undring.mbox,84342
no.amiga.mbox,41639
no.annonser.audio-video.mbox,14903
no.annonser.bil.mbox,16955
no.annonser.bolig.mbox,3499
no.annonser.diskusjon.mbox,15152
no.annonser.diverse.mbox,23727
no.annonser.dyr.mbox,2601
no.annonser.foreldre+barn.mbox,750
no.annonser.foto.mbox,3951
no.annonser.friluftsliv.mbox,1501
no.annonser.it.diverse.mbox,15649
no.annonser.it.maskinvare.diverse.mbox,29151
no.annonser.it.nettilbydere.mbox,1250
no.annonser.it.nettverk.mbox,450
no.annonser.it.programvare.diverse.mbox,2950
no.annonser.it.telekom.mbox,5400
no.annonser.it.unix.mbox,500
no.annonser.jobb.onskes.mbox,1499
no.annonser.jobb.selvstendig.mbox,600
no.annonser.jobb.tilbys.mbox,3748
no.annonser.kontakt.diverse.mbox,800
no.annonser.maritim.mbox,601
no.annonser.motorsykkel.mbox,6349
no.annonser.musikk.mbox,7651
no.annonser.spill.data.mbox,4201
no.annonser.spill.diverse.mbox,1349
no.annonser.spill.tv.mbox,2654
no.annonser.sykkel.mbox,1800
no.audio.mbox,21438
no.bibsys.mbox,272
no.bil.mbox,44201
no.biz.mbox,176
no.biz.annonser.mbox,12198
no.biz.annonser.data.mbox,12990
no.biz.diskusjoner.mbox,846
no.biz.nettilbydere.mbox,5372
no.bolig.mbox,3249
no.c.mbox,2346
no.ef.mbox,995
no.elektronikk.mbox,12034
no.embnet.mbox,125
no.eunet.diverse.mbox,141
no.eunet.drift.mbox,232
no.eunet.hjelp.mbox,265
no.fag.diverse.mbox,20863
no.fag.filosofi.mbox,22964
no.fag.jus.mbox,70571
no.fag.jus.it.mbox,6747
no.fag.kjemi.mbox,6107
no.fag.landbruk.mbox,9455
no.fag.medisin.diverse.mbox,40831
no.fag.psykologi.generell.mbox,58223
no.fag.samfunnsvitenskap.mbox,3009
no.fag.sjukepleie.mbox,500
no.fag.spraak.diverse.mbox,49627
no.fag.spraak.fagord.mbox,4312
no.fag.spraak.strid.mbox,5400
no.fag.typografi.mbox,3000
no.film.mbox,22047
no.folklore.edb.mbox,792
no.folklore.generelt.mbox,134
no.folklore.overtro.mbox,533
no.fritid.akvarium.mbox,3450
no.fritid.bolig.mbox,44093
no.fritid.diverse.mbox,2904
no.fritid.dykking.mbox,18554
no.fritid.dyr.diverse.mbox,5500
no.fritid.fiske.mbox,6650
no.fritid.foto.mbox,22755
no.fritid.friluftsliv.mbox,11099
no.fritid.hage.mbox,8100
no.fritid.hobbyverksted.mbox,4407
no.fritid.jakt.mbox,22501
no.fritid.maritim.mbox,11659
no.fritid.modellhobby.mbox,18557
no.fritid.reiser.mbox,18263
no.fritid.slektsforsking.diverse.mbox,19510
no.fritid.slektsforsking.etterlysing.mbox,28617
no.fritid.slektsforsking.it.mbox,10610
no.fritid.speiding.mbox,1751
no.fritid.spill.data.mbox,47002
no.fritid.spill.diverse.mbox,2349
no.fritid.spill.rollespill.mbox,16116
no.fritid.spill.sjakk.mbox,2201
no.fritid.sykkel.mbox,16855
no.general.mbox,168755
no.havforskning.mbox,391
no.hobby.diverse.mbox,4151
no.irc.mbox,6951
no.it.data.xml.mbox,1050
no.it.database.diverse.mbox,4850
no.it.diverse.mbox,58256
no.it.emacs.mbox,2668
no.it.grafikk.diverse.mbox,5801
no.it.maskinvare.diverse.mbox,111000
no.it.maskinvare.grafikkort.mbox,13703
no.it.maskinvare.overklokking.mbox,11201
no.it.maskinvare.pda.mbox,5802
no.it.nettverk.mbox,40220
no.it.nostalgi.mbox,7912
no.it.os.amiga.diverse.mbox,6847
no.it.os.amiga.maskinvare.mbox,5601
no.it.os.amiga.programvare.mbox,3750
no.it.os.beos.mbox,200
no.it.os.mac.diverse.mbox,166425
no.it.os.ms-windows.diverse.mbox,85561
no.it.os.ms-windows.nettverk.mbox,8708
no.it.os.ms-windows.nt.mbox,17653
no.it.os.os2.mbox,4951
no.it.os.unix.diverse.mbox,9154
no.it.os.unix.linux.diverse.mbox,121626
no.it.os.unix.linux.nettverk.mbox,12275
no.it.programmering.asp.mbox,6202
no.it.programmering.c.mbox,9050
no.it.programmering.c++.mbox,8951
no.it.programmering.delphi.mbox,11298
no.it.programmering.diverse.mbox,9000
no.it.programmering.dotnet.mbox,200
no.it.programmering.java.mbox,15249
no.it.programmering.javascript.mbox,3850
no.it.programmering.lisp.mbox,2635
no.it.programmering.perl.mbox,9044
no.it.programmering.php.mbox,17858
no.it.programmering.python.mbox,950
no.it.programmering.visual-basic.mbox,18664
no.it.programvare.emacs.mbox,4453
no.it.programvare.ms-office.mbox,12110
no.it.programvare.tex.mbox,5206
no.it.sikkerhet.diverse.mbox,28969
no.it.sikkerhet.virus.mbox,5508
no.it.telekom.diverse.mbox,9750
no.it.telekom.isdn.mbox,9698
no.it.telekom.mobil.mbox,48656
no.it.tjenester.irc.mbox,1500
no.it.tjenester.mail.diverse.mbox,7714
no.it.tjenester.nettilbydere.mbox,37108
no.it.tjenester.news.diverse.mbox,6052
no.it.tjenester.www.css.mbox,950
no.it.tjenester.www.design.mbox,30350
no.it.tjenester.www.diverse.mbox,19200
no.it.tjenester.www.html.mbox,21907
no.it.tjenester.www.programmering.mbox,12801
no.jus.mbox,18997
no.kjemi.mbox,2193
no.kryptografi.mbox,1097
no.kultur.diverse.mbox,1651
no.kultur.film.mbox,79759
no.kultur.folklore.diverse.mbox,500
no.kultur.folklore.overtro.mbox,901
no.kultur.folklore.ufo.mbox,22249
no.kultur.fritid.friluftsliv.mbox,1145
no.kultur.genre.sf.mbox,3251
no.kultur.humor.mbox,13572
no.kultur.litteratur.diverse.mbox,11158
no.kultur.musikk.diverse.mbox,75950
no.kultur.musikk.gitar.mbox,14005
no.kultur.musikk.klassisk.mbox,1900
no.kultur.musikk.korps.mbox,7751
no.kultur.musikk.produksjon.mbox,5102
no.linux.mbox,54038
no.lisp.mbox,479
no.litteratur.mbox,7038
no.lokal.drammen.mbox,3606
no.lokal.oslo.mbox,600
no.lokal.ringerike.mbox,150
no.mac.mbox,43233
no.mail.diverse.mbox,1988
no.mail.drift.mbox,577
no.marked.mbox,47912
no.marked.bil.mbox,9435
no.marked.bolig.mbox,2387
no.marked.data.mbox,77702
no.marked.diskusjon.mbox,981
no.marked.jobb.mbox,5705
no.media.mbox,2384
no.medisin.mbox,8793
no.ms-windows.mbox,29239
no.multimedia.mbox,2680
no.musikk.mbox,50156
no.musikk.gitar.mbox,3641
no.musikk.klassisk.mbox,1042
no.net.mbox,3893
no.nettvett.mbox,20510
no.news.diverse.mbox,22543
no.news.drift.mbox,749
no.norsk.mbox,22643
no.norsk.fagord.mbox,2254
no.nuug.mbox,221
no.org.diverse.mbox,350
no.org.dnd.mbox,280
no.org.efn.diskusjon.mbox,1136
no.org.efn.nyheter.mbox,11
no.org.isoc-no.mbox,81
no.org.nobug.diverse.mbox,152
no.org.nobug.nytt.mbox,65
no.org.nuug.mbox,200
no.pc.mbox,82468
no.perl.mbox,1840
no.prat.aksjer.mbox,4448
no.prat.narkotika.mbox,7205
no.prat.politikk.mbox,59720
no.prat.seksualitet.mbox,24838
no.prat.ufo.mbox,5863
no.pressemeldinger.mbox,788
no.pressemeldinger.diskusjon.mbox,150
no.psykologi.mbox,8948
no.radio-tv.mbox,15235
no.reiser.mbox,4344
no.religion.mbox,49184
no.samfunn.aksjer.mbox,10102
no.samfunn.alkohol.mbox,2050
no.samfunn.diverse.mbox,3453
no.samfunn.forbruker.mbox,17908
no.samfunn.foreldre+barn.mbox,33368
no.samfunn.helse.funksjonshemming.diverse.mbox,600
no.samfunn.helse.livsstil.mbox,3610
no.samfunn.media.diverse.mbox,5064
no.samfunn.media.radio-tv.mbox,39872
no.samfunn.media.radio-tv.virkelighets-tv.mbox,6050
no.samfunn.narkotika.mbox,11911
no.samfunn.naturvern.mbox,43618
no.samfunn.okonomi.diverse.mbox,8008
no.samfunn.politikk.diverse.mbox,166469
no.samfunn.politikk.historie.mbox,3952
no.samfunn.politikk.innvandring.mbox,95561
no.samfunn.politikk.utenriks.mbox,44077
no.samfunn.politikk.vaapen.mbox,10506
no.samfunn.religion.mbox,168287
no.samfunn.seksualitet.mbox,24362
no.samfunn.skole.mbox,13511
no.samfunn.trafikk.mbox,8852
no.skole.diverse.mbox,4649
no.slekt.mbox,10309
no.slekt.etterlysning.mbox,11558
no.slekt.programmer.mbox,5092
no.sources.list.mbox,305
no.sources.wanted.mbox,236
no.speider.mbox,1617
no.spill.mbox,18834
no.spill.rollespill.mbox,2398
no.spill.sjakk.mbox,864
no.sport.diverse.mbox,10654
no.sport.fotball.mbox,180575
no.sport.hockey.mbox,703
no.sport.kampkunst.mbox,1800
no.sport.motorsport.mbox,1200
no.sport.orientering.mbox,1556
no.sport.paintball.mbox,7653
no.sport.skyting.mbox,30490
no.sport.volleyball.mbox,3798
no.standard.mbox,196
no.stortinget.mbox,5400
no.student.nett.mbox,741
no.student.samfund.mbox,409
no.svar.mbox,723
no.sykkel.mbox,11520
no.tegnsett.mbox,349
no.teknologi.audio.mbox,42008
no.teknologi.bil.mbox,178192
no.teknologi.diverse.mbox,4549
no.teknologi.elektronikk.mbox,30410
no.teknologi.hjemmekino.mbox,36108
no.teknologi.satellitt-tv.mbox,6505
no.teknologi.video.mbox,27115
no.tele.mbox,13940
no.telepost.mbox,198
no.test.mbox,82161
no.tex.mbox,1590
no.tungregning.mbox,146
no.typografi.mbox,924
no.uninett.diverse.mbox,444
no.uninett.drift.mbox,181
no.uninett.hjelp.mbox,126
no.uninett.katalog.mbox,72
no.uninett.skole.mbox,1161
no.unix.mbox,7904
no.usenet.admin.mbox,19803
no.usenet.informasjon.mbox,250
no.velkommen.mbox,600
no.video.mbox,7692
no.vit.diverse.mbox,4542
no.vitser.mbox,13706
no.vr.mbox,317
no.www.mbox,21627
no.x.mbox,716
Total,5985245
