from_newsgroup,to_newsgroup,number_of_references
no.alt.flame,no.alt.diskusjoner,938
no.marked,no.musikk,936
no.general,no.musikk,931
no.pc,no.linux,928
no.musikk,no.general,923
no.jus,no.religion,922
no.it.diverse,unknown,920
no.alt.diskusjoner,no.kjemi,918
no.medisin,no.skole.diverse,912
no.alkohol,no.alt.diskusjoner,910
no.alt.diskusjoner,no.www,910
no.alt.diskusjoner,no.skole.diverse,906
no.media,no.alt.diskusjoner,900
no.alt.mat,unknown,898
no.alt.diskusjoner,no.media,897
no.alt.diskusjoner,no.alkohol,895
no.medisin,unknown,895
no.www,no.marked,895
no.prat.seksualitet,no.psykologi,881
no.musikk,no.audio,880
no.alt.gledesutbrudd,no.general,868
no.general,no.biz.nettilbydere,857
no.general,no.alkohol,851
no.spill.sjakk,unknown,844
no.alt.katter,unknown,835
no.www,no.vitser,828
no.general,no.biz.annonser.data,826
no.general,no.net,817
no.general,no.sykkel,815
no.alt.diskusjoner,no.marked,810
no.org.efn.diskusjon,no.jus,810
no.vit.diverse,no.kjemi,810
no.prat.politikk,no.news.diverse,805
no.biz.nettilbydere,no.biz.annonser,804
no.norsk,no.media,800
no.general,no.pressemeldinger,799
no.multimedia,no.marked,799
no.marked,no.multimedia,795
no.bil,no.bibsys,794
no.bibsys,no.bil,793
no.multimedia,no.hobby.diverse,787
no.kjemi,no.general,782
no.it.os.os2,unknown,781
no.ms-windows,no.multimedia,770
no.multimedia,no.ms-windows,770
no.www,no.alt.diskusjoner,753
no.hobby.diverse,no.multimedia,742
no.kjemi,no.vit.diverse,741
no.prat.narkotika,no.www,740
no.pc,no.vitser,738
no.prat.politikk,no.alkohol,737
no.tele,no.biz.nettilbydere,732
no.vit.diverse,no.alt.diskusjoner,732
no.alkohol,no.prat.politikk,729
no.biz.nettilbydere,no.biz.annonser.data,729
no.kjemi,no.alt.diskusjoner,729
no.prat.narkotika,no.stortinget,723
no.psykologi,no.religion,723
no.kjemi,no.medisin,720
no.biz.annonser.data,no.biz.nettilbydere,719
no.biz.annonser,no.biz.nettilbydere,716
no.news.diverse,no.alt.diskusjoner,709
no.religion,no.skole.diverse,707
no.alt.diskusjoner,no.litteratur,706
no.irc,no.jus,704
no.audio,no.multimedia,701
no.prat.seksualitet,no.alt.gledesutbrudd,700
no.multimedia,no.audio,699
no.skole.diverse,no.religion,695
no.amiga,no.general,692
no.audio,no.hobby.diverse,687
no.irc,no.org.efn.diskusjon,683
no.news.diverse,no.sport.diverse,682
no.pc,no.multimedia,682
no.alt.gledesutbrudd,no.religion,681
no.general,no.sport.diverse,679
no.general,no.prat.seksualitet,673
no.news.diverse,no.mac,669
no.film,no.radio-tv,666
no.radio-tv,no.film,664
no.medisin,no.litteratur,663
no.multimedia,no.pc,663
no.sykkel,no.general,663
no.film,no.video,661
no.religion,no.psykologi,655
no.vit.diverse,no.skole.diverse,654
no.news.diverse,no.prat.politikk,640
no.general,no.marked.data,639
no.org.efn.diskusjon,no.irc,638
no.kjemi,no.skole.diverse,635
no.multimedia,no.media,633
no.media,no.multimedia,632
no.bil,no.elektronikk,630
no.general,no.audio,628
no.www,no.elektronikk,625
no.hobby.diverse,no.audio,624
no.general,no.vitser,621
no.org.efn.diskusjon,unknown,619
no.alt.diskusjoner,no.hobby.diverse,616
no.slekt,unknown,608
no.general,no.folklore.overtro,606
no.general,no.film,604
no.mac,no.marked.data,602
no.biz.diskusjoner,no.biz.nettilbydere,599
no.video,no.film,598
no.media,no.marked,597
no.general,no.multimedia,596
no.biz.annonser,unknown,595
no.marked,no.general,595
no.ef,unknown,592
