from_newsgroup,to_newsgroup,number_of_references
no.general,no.prat.seksualitet,120
no.media,no.prat.politikk,120
no.alkohol,no.alt.diskusjoner,119
no.film,no.radio-tv,119
no.news.diverse,no.alt.diskusjoner,119
no.audio,no.marked,118
no.general,no.sport.diverse,118
no.marked.diskusjon,no.marked.data,118
no.prat.politikk,no.jus,118
no.jus,no.prat.politikk,117
no.marked,no.audio,117
no.spill.sjakk,unknown,117
no.sport.diverse,no.general,117
no.general,no.biz.annonser,116
no.pc,no.it.diverse,115
no.www,no.net,115
no.media,unknown,114
no.multimedia,no.ms-windows,114
no.amiga,no.marked.data,113
no.biz.nettilbydere,no.tele,113
no.general,no.amiga,113
no.kjemi,unknown,113
no.ms-windows,no.multimedia,113
no.pc,no.biz.annonser.data,113
no.video,unknown,113
no.biz.nettilbydere,no.general,112
no.net,unknown,112
no.www,no.marked,111
no.audio,no.video,110
no.marked.jobb,unknown,110
no.prat.ufo,unknown,110
no.general,no.medisin,109
no.norsk.fagord,unknown,109
no.video,no.audio,109
no.org.efn.diskusjon,unknown,108
no.psykologi,no.religion,108
no.marked,no.www,106
no.org.efn.diskusjon,no.jus,106
no.amiga,no.general,105
no.general,no.net,105
no.medisin,no.general,105
no.speider,unknown,105
no.biz.annonser.data,no.pc,104
no.jus,no.uninett.diverse,104
no.tele,no.biz.nettilbydere,104
no.film,no.audio,102
no.reiser,unknown,102
no.norsk,no.alt.diskusjoner,101
no.religion,no.psykologi,101
no.stortinget,no.media,101
no.biz.annonser,no.biz.nettilbydere,100
no.biz.nettilbydere,no.biz.annonser,100
no.media,no.stortinget,100
no.multimedia,no.marked,100
no.prat.seksualitet,no.general,100
no.uninett.diverse,no.jus,100
no.alt.mat.drikke,no.general,99
no.audio,no.film,99
no.ef,unknown,98
no.marked,no.multimedia,98
no.net,no.general,98
no.vitser,no.www,98
no.www,no.alt.diskusjoner,98
no.audio,no.musikk,97
no.multimedia,unknown,97
no.general,no.audio,96
no.media,no.alt.diskusjoner,96
no.net,no.www,96
no.alt.config,unknown,95
no.general,no.alt.mat.drikke,93
no.general,no.multimedia,93
no.multimedia,no.media,93
no.pc,no.vitser,93
no.alt.diskusjoner,no.media,92
no.media,no.multimedia,92
no.org.efn.diskusjon,no.irc,92
no.alt.diskusjoner,no.alt.flame,91
no.pc,no.net,91
no.tele,no.pc,91
no.multimedia,no.marked.data,90
no.test,no.general,90
no.www,no.vitser,90
no.alt.diskusjoner,no.marked,89
no.slekt.programmer,no.slekt,89
no.general,no.film,88
no.general,no.spill,88
no.irc,no.org.efn.diskusjon,88
no.marked.data,no.multimedia,88
no.multimedia,no.general,88
no.net,no.pc,88
no.unix,no.pc,88
no.vitser,no.general,88
no.spill,no.general,87
no.alt.katter,no.general,86
no.news.diverse,no.mac,86
no.alt.mat.drikke,unknown,85
no.general,no.pressemeldinger,85
no.news.diverse,no.prat.politikk,85
no.general,no.psykologi,84
no.multimedia,no.hobby.diverse,84
no.biz.nettilbydere,no.biz.annonser.data,83
no.elektronikk,no.audio,83
no.marked,no.alt.diskusjoner,83
no.biz.annonser.data,no.biz.nettilbydere,82
no.elektronikk,no.bil,82
no.hobby.diverse,no.marked,82
no.norsk,no.www,82
no.alt.diskusjoner,no.pc,81
no.biz.annonser,no.pc,81
no.hobby.diverse,no.alt.diskusjoner,81
no.hobby.diverse,no.multimedia,81
no.musikk.gitar,no.musikk,80
no.alt.diskusjoner,no.hobby.diverse,79
no.amiga,no.marked,79
no.audio,no.elektronikk,79
no.multimedia,no.audio,79
no.pc,no.biz.annonser,79
no.pc,no.tele,79
no.www,no.elektronikk,79
no.biz.nettilbydere,no.marked,78
no.it.diverse,no.general,78
no.musikk,no.musikk.gitar,78
no.sykkel,no.general,78
no.www,no.pressemeldinger,78
no.elektronikk,no.www,77
no.marked,no.hobby.diverse,77
no.kryptografi,unknown,76
no.bil,no.bibsys,75
no.bil,no.elektronikk,75
no.alt.diskusjoner,no.vitser,74
no.bibsys,no.bil,74
no.religion,no.alt.gledesutbrudd,74
no.vitser,no.pc,74
no.general,no.it.diverse,73
no.marked,no.biz.nettilbydere,73
no.pressemeldinger,no.general,73
no.vit.diverse,no.medisin,73
no.audio,no.general,72
no.audio,no.multimedia,72
no.general,no.sykkel,72
no.marked.data,no.amiga,72
no.norsk,no.jus,72
no.radio-tv,no.media,72
no.religion,no.skole.diverse,72
no.spill,no.marked,72
no.alt.flame,no.spill,71
no.alt.mat.drikke,no.hobby.diverse,71
no.biz.annonser,no.general,71
no.marked,no.spill,71
no.pc,no.alt.diskusjoner,71
no.pc,no.unix,71
no.skole.diverse,no.religion,71
no.www,no.alkohol,71
no.alkohol,no.www,70
no.reiser,no.general,70
no.general,no.alt.katter,69
no.prat.politikk,no.news.diverse,69
no.uninett.skole,no.general,69
no.alt.diskusjoner,no.elektronikk,68
no.alt.gledesutbrudd,no.religion,68
no.biz.nettilbydere,no.marked.data,68
no.folklore.edb,unknown,68
no.general,no.biz.annonser.data,68
no.media,no.radio-tv,68
no.prat.narkotika,no.stortinget,68
no.pressemeldinger,no.www,68
no.vitser,no.alt.diskusjoner,68
no.bolig,unknown,67
no.general,no.reiser,67
no.prat.seksualitet,no.alt.diskusjoner,67
no.vit.diverse,no.kjemi,67
no.general,no.bil,66
no.hobby.diverse,no.alt.mat.drikke,66
no.kjemi,no.general,66
no.lisp,unknown,66
no.slekt,no.slekt.programmer,66
no.audio,no.hobby.diverse,65
no.biz.nettilbydere,no.www,65
no.eunet.hjelp,unknown,65
no.general,no.uninett.skole,65
no.mac,no.news.diverse,65
no.folklore.edb,no.general,64
no.tele,no.www,64
no.vitser,no.prat.seksualitet,64
no.elektronikk,no.biz.annonser,63
no.marked.data,no.biz.nettilbydere,63
no.norsk,no.media,63
no.spill,no.marked.data,63
no.tele,no.elektronikk,63
no.typografi,unknown,63
no.www,no.radio-tv,63
no.biz.diskusjoner,no.biz.nettilbydere,62
no.hobby.diverse,no.audio,62
no.ms-windows,no.it.diverse,62
no.elektronikk,no.alt.diskusjoner,61
no.prat.seksualitet,no.vitser,61
no.tex,unknown,61
no.alkohol,no.prat.politikk,60
no.bil,no.marked.bil,60
no.biz.nettilbydere,no.biz.diskusjoner,60
no.elektronikk,no.marked.data,60
no.folklore.overtro,no.general,60
no.general,no.folklore.overtro,60
no.linux,no.general,60
no.marked.data,no.spill,60
no.prat.politikk,no.alkohol,60
no.radio-tv,no.elektronikk,60
no.sykkel,no.alt.diskusjoner,60
no.www,no.biz.nettilbydere,60
no.alt.diskusjoner,no.norsk,59
no.alt.god.jul,unknown,59
no.elektronikk,no.radio-tv,59
no.general,no.mail.diverse,59
no.general,no.marked.data,59
no.it.diverse,no.ms-windows,59
no.marked.data,no.www,59
no.media,no.audio,59
no.alt.diskusjoner,no.vit.diverse,58
no.amiga,no.audio,58
no.biz.annonser,no.elektronikk,58
no.hobby.diverse,no.marked.data,58
no.marked.bil,unknown,58
no.marked.data,no.elektronikk,58
no.media,no.norsk,58
no.unix,no.www,58
no.vit.diverse,no.alt.diskusjoner,58
no.www,no.marked.data,58
no.amiga,no.alt.diskusjoner,57
no.amiga,no.elektronikk,57
no.mail.diverse,no.general,57
no.marked,no.vitser,57
no.marked.data,no.hobby.diverse,57
no.medisin,no.vit.diverse,57
no.spill,no.ms-windows,57
no.www,no.tele,57
no.alt.diskusjoner,no.sykkel,56
no.audio,no.amiga,56
no.media,no.vit.diverse,56
no.ms-windows,no.spill,56
no.vit.diverse,no.media,56
no.www,no.norsk,56
no.www,no.prat.seksualitet,56
no.alt.flame,no.musikk,55
no.alt.tegneserier,no.general,55
no.jus,no.religion,55
no.kjemi,no.medisin,55
no.marked,no.bil,55
no.marked.jobb,no.marked,55
no.medisin,no.alt.diskusjoner,55
no.slekt,no.slekt.etterlysning,55
no.unix,no.general,55
no.alt.diskusjoner,no.amiga,54
no.amiga,no.multimedia,54
no.biz.diskusjoner,no.biz.annonser.data,54
no.general,no.alt.tegneserier,54
no.general,no.kjemi,54
no.general,no.student.samfund,54
no.marked,no.marked.jobb,54
no.marked.data,no.musikk,54
no.medisin,no.kjemi,54
no.musikk,no.marked.data,54
no.news.diverse,no.religion,54
no.news.diverse,no.sport.diverse,54
no.pc,no.prat.seksualitet,54
no.radio-tv,no.www,54
no.alt.gledesutbrudd,no.alt.diskusjoner,53
no.alt.sjokolade,no.alt.tegneserier,53
no.alt.tegneserier,no.alt.sjokolade,53
no.biz.diskusjoner,no.biz.annonser,53
no.kjemi,no.alt.diskusjoner,53
no.mail.diverse,no.net,53
no.marked.bil,no.bil,53
no.musikk.klassisk,no.musikk,53
no.news.diverse,no.mail.diverse,53
no.vit.diverse,no.prat.ufo,53
no.vitser,no.marked,53
no.alt.diskusjoner,no.alt.config,52
no.alt.pompel-og-pilt,no.alt.sjokolade,52
no.audio,no.bil,52
no.bil,no.audio,52
no.bil,no.biz.annonser,52
no.biz.annonser,no.bil,52
no.biz.annonser.data,no.biz.diskusjoner,52
no.kjemi,no.vit.diverse,52
no.marked,no.marked.bil,52
no.marked.bil,no.marked,52
no.multimedia,no.amiga,52
no.musikk,no.multimedia,52
no.tegnsett,no.general,52
no.alt.flame,no.pc,51
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,51
no.alt.pompel-og-pilt,no.alt.tegneserier,51
no.bil,no.marked,51
no.mac,no.general,51
