newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.ai,0debfbac2b14b784,12,705,0.9879073534121395,0.16798369586347173
no.ai,117de86fa437fa76,2,140,0.9755287019158569,0.29816663198663224
no.ai,1298caf112c8cbae,28,880,0.9785211472613893,0.23362114320197397
no.ai,13d5ac298d332c56,29,1635,0.9591422248234025,0.18815625999667238
no.ai,14fef30edb07a1b8,6,433,0.9616884769583645,0.10452444672836729
no.ai,164942b114eb23ee,2,828,0.9923651766324333,0.41915531599933714
no.ai,1d2e410b5013cfbc,28,1334,0.988644327239426,0.3003740731464519
no.ai,202914214bebf6cb,9,485,0.980241979085788,0.29658214791371795
no.ai,21a6abb620695cec,15,915,0.9823209479369087,0.19932059539742017
no.ai,2fab2999bd24043d,7,610,0.8609585124700733,0.31770554125250355
no.ai,334f912bbff9a48e,8,337,0.9859780776990885,0.5443767221234169
no.ai,4604a3336a182c37,14,494,0.9282377901811312,0.39018595891892194
no.ai,4655906211d6c9ca,1,1096,0.9973967170901693,0.2272167379777719
no.ai,50c2be546f276985,36,2155,0.9934205910848957,0.11200736321970524
no.ai,574ab9edee545191,27,1493,0.9905306861467547,0.24709710740457994
no.ai,5901e639db7df1a3,1,413,0.9983161197202082,0.5284706040545002
no.ai,666dcfa1c13e8594,6,489,0.9915799759728694,0.29087997952401884
no.ai,6a1187d925d2b0da,2,617,0.9987182002397648,0.22305313503115667
no.ai,71e203a201c80565,18,1443,0.990378243056737,0.2761906514108807
no.ai,73b3d8ec260a728a,3,291,0.9934212001236042,0.2701272861964017
no.ai,748bf51203f66663,2,88,0.9587429318038964,0.2307943828353799
no.ai,78f5d2eb31267b38,24,1356,0.9958313931775948,0.19705118377646227
no.ai,7b83514e47c1f900,2,255,0.9832453316771314,0.3185182199412857
no.ai,85ba6d8ef5e085f7,18,622,0.9861934600731982,0.20893011342448461
no.ai,8b436cf2b88567d2,10,284,0.9749221035021899,0.22257444778018584
no.ai,8ff5d07dbfa58218,20,1329,0.9830175472351599,0.2257788069006044
no.ai,913127183a7d56cc,13,802,0.9804855591359825,0.17745130113013025
no.ai,920f8faa53024945,42,2048,0.9852837728719105,0.18629831420656306
no.ai,92dd5c903177901d,5,128,0.9349780777952493,0.21136607900571075
no.ai,92f175275985f922,9,672,0.9894470285965865,0.2410103897244968
no.ai,a470beb381e91201,11,272,0.9131777848132315,0.18758796157325294
no.ai,a9f8fa3e4d6a5411,1,166,0.9681095848060041,0.33379445310913575
no.ai,cd9eddd89dc0fd85,8,288,0.9510742618990162,0.278710901738713
no.ai,d299c66cbe959d82,4,513,0.9941732846660899,0.17359995640402406
no.ai,d8e15c059d8b981c,1,1298,0.999276110748567,0.3919073564770292
no.ai,db004c412e4e161a,8,237,0.9300681744491232,0.29658391377150767
no.ai,e37bc92d63b3d6a0,5,525,0.9869429889266904,0.4454885689521972
no.ai,e3d038e5c245fdec,31,1264,0.9728646933649209,0.21767677909901162
no.ai,eb7f9823513115d9,1,435,0.998704437186464,0.15418897570599197
