newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.alt.diskusjoner.usa,no.alt.frustrasjoner,1,1,1,1.0
no.alt.diskusjoner.usa,no.samfunn.politikk.utenriks,1,1,1,1.0
no.alt.frustrasjoner,no.samfunn.politikk.utenriks,1,1,1,1.0
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,293,269,129,0.2979214780600462
no.alt.radio-tv.irma-1000,no.bibsys,269,218,108,0.2849604221635884
no.marked,no.marked.data,6278,7009,2849,0.27294500862234145
no.alt.pompel-og-pilt,no.bibsys,293,218,107,0.26485148514851486
no.prat.politikk,no.stortinget,1120,501,338,0.2634450506625097
no.biz.annonser,no.biz.annonser.data,1973,1493,719,0.26174008008736804
no.alt.diskusjoner,no.prat.politikk,1895,1120,625,0.2615062761506276
no.ai,no.alt.arkiv,214,160,77,0.25925925925925924
no.alt.arkiv,no.alt.config,160,314,96,0.25396825396825395
no.slekt,no.slekt.etterlysning,1336,958,449,0.24336043360433604
no.eunet.drift,no.eunet.hjelp,75,141,41,0.2342857142857143
no.alt.diskusjoner,no.general,1895,5485,1364,0.22672872340425532
no.ms-windows,no.pc,2456,5852,1511,0.22230395762836547
no.student.nett,no.student.samfund,358,188,98,0.21875
no.marked.data,no.pc,7009,5852,2264,0.2136453713315089
no.alt.god.jul,no.alt.pompel-og-pilt,443,293,129,0.21252059308072488
no.mail.diverse,no.mail.drift,657,243,147,0.1952191235059761
no.alt.god.jul,no.alt.radio-tv.irma-1000,443,269,116,0.19463087248322147
no.alt.diskusjoner,no.news.diverse,1895,1446,544,0.1944941008223096
no.general,no.www,5485,3396,1446,0.19448554135843982
no.linux,no.unix,2396,1161,576,0.19322375041932238
no.slekt,no.slekt.programmer,1336,576,309,0.19276356830941985
no.biz.diskusjoner,no.biz.nettilbydere,326,656,158,0.19174757281553398
no.alt.diskusjoner,no.alt.gledesutbrudd,1895,1359,523,0.1915049432442329
no.alt.god.jul,no.bibsys,443,218,103,0.18458781362007168
no.ai,no.alt.config,214,314,82,0.18385650224215247
no.alt.pompel-og-pilt,no.alt.sjokolade,293,635,144,0.1836734693877551
no.alt.radio-tv.irma-1000,no.alt.sjokolade,269,635,138,0.1801566579634465
no.alt.diskusjoner,no.jus,1895,1415,505,0.1800356506238859
no.alt.mat,no.alt.mat.drikke,983,516,223,0.17476489028213166
no.pc,no.www,5852,3396,1371,0.17405103465786467
no.film,no.radio-tv,1867,1987,566,0.1721411192214112
no.uninett.drift,no.uninett.katalog,85,53,20,0.1694915254237288
no.alt.diskusjoner,no.norsk,1895,1503,490,0.16850068775790922
no.jus,no.news.diverse,1415,1446,407,0.16585167074164628
no.marked,no.pc,6278,5852,1725,0.16578567996155694
no.uninett.hjelp,no.uninett.katalog,83,53,19,0.1623931623931624
no.org.nobug.diverse,no.uninett.katalog,76,53,18,0.16216216216216217
no.alt.sjokolade,no.alt.tegneserier,635,779,196,0.16091954022988506
no.alt.gledesutbrudd,no.news.diverse,1359,1446,388,0.16052958212660323
no.jus,no.prat.politikk,1415,1120,347,0.1585923217550274
no.alt.diskusjoner,no.religion,1895,1359,441,0.15677212939921792
no.alkohol,no.prat.narkotika,880,414,175,0.15638963360142985
no.prat.politikk,no.religion,1120,1359,333,0.15517241379310345
no.bil,no.marked.bil,1920,998,391,0.15472892758211318
no.alt.diskusjoner,no.www,1895,3396,707,0.15423211169284468
no.alt.god.jul,no.alt.sjokolade,443,635,144,0.15417558886509636
no.general,no.news.diverse,5485,1446,923,0.15362849533954728
no.news.diverse,no.prat.politikk,1446,1120,341,0.15325842696629213
no.lisp,no.mail.drift,194,243,58,0.15303430079155672
no.news.diverse,no.norsk,1446,1503,387,0.15105386416861827
no.news.diverse,no.www,1446,3396,633,0.150392017106201
no.biz.annonser,no.marked,1973,6278,1078,0.15028579394953298
no.alt.sjokolade,no.bibsys,635,218,111,0.1495956873315364
no.alt.radio-tv.irma-1000,no.alt.tegneserier,269,779,135,0.14786418400876233
no.general,no.pc,5485,5852,1454,0.1471213194374178
no.norsk,no.prat.politikk,1503,1120,336,0.14691735898557062
no.biz.annonser.data,no.marked.data,1493,7009,1088,0.14674939304019421
no.kryptografi,no.lisp,245,194,56,0.1462140992167102
no.slekt.etterlysning,no.slekt.programmer,958,576,195,0.14563106796116504
no.mail.diverse,no.net,657,862,193,0.1455505279034691
no.general,no.prat.politikk,5485,1120,837,0.14511095700416088
no.alt.gullkorn,no.alt.troll,1,7,1,0.14285714285714285
no.alt.pompel-og-pilt,no.alt.tegneserier,293,779,134,0.14285714285714285
no.uninett.drift,no.uninett.hjelp,85,83,21,0.14285714285714285
no.bibsys,no.biz,218,55,34,0.14225941422594143
no.it.emacs,no.lisp,248,194,55,0.1421188630490956
no.bolig,no.marked.bolig,862,537,174,0.14204081632653062
no.alkohol,no.alt.diskusjoner,880,1895,342,0.1405672009864365
no.alt.diskusjoner,no.irc,1895,1144,373,0.1399099774943736
no.ms-windows,no.www,2456,3396,718,0.13985196727697702
no.alt.diskusjoner,no.media,1895,709,318,0.13910761154855644
no.prat.politikk,no.vit.diverse,1120,449,190,0.13778100072516317
no.mail.diverse,no.news.diverse,657,1446,254,0.13737155219037317
no.alt.diskusjoner,no.prat.seksualitet,1895,848,327,0.1353476821192053
no.pc,no.spill,5852,2481,992,0.13513145348045225
no.general,no.jus,5485,1415,821,0.13505510774798488
no.ef,no.prat.politikk,319,1120,171,0.13485804416403785
no.alt.amiga,no.alt.arkiv,93,160,30,0.13452914798206278
no.net,no.news.diverse,862,1446,273,0.13415233415233416
no.alt.gledesutbrudd,no.general,1359,5485,808,0.13386348575215373
no.general,no.norsk,5485,1503,818,0.1325769854132901
no.film,no.video,1867,903,324,0.13246116107931316
no.c,no.unix,727,1161,218,0.13053892215568863
no.uninett.diverse,no.uninett.drift,177,85,30,0.12931034482758622
no.alt.tegneserier,no.bibsys,779,218,114,0.1291053227633069
no.irc,no.news.diverse,1144,1446,296,0.12903225806451613
no.skole.diverse,no.uninett.skole,538,455,113,0.12840909090909092
no.jus,no.norsk,1415,1503,332,0.12838360402165508
no.sources.list,no.sources.wanted,78,142,25,0.1282051282051282
no.alt.gledesutbrudd,no.prat.politikk,1359,1120,280,0.1273306048203729
no.alt.god.jul,no.alt.tegneserier,443,779,138,0.12730627306273062
no.general,no.radio-tv,5485,1987,843,0.12716850203650626
no.litteratur,no.norsk,1161,1503,300,0.12690355329949238
no.alt.diskusjoner,no.radio-tv,1895,1987,437,0.12685050798258346
no.embnet,no.uninett.katalog,63,53,13,0.1262135922330097
no.alt.diskusjoner,no.stortinget,1895,501,267,0.12541099107562237
no.media,no.prat.politikk,709,1120,202,0.12415488629379226
no.media,no.news.diverse,709,1446,238,0.12415232133541992
no.irc,no.jus,1144,1415,281,0.12335381913959614
no.kryptografi,no.org.efn.diskusjon,245,320,62,0.12326043737574553
no.prat.narkotika,no.prat.politikk,414,1120,168,0.12298682284040996
no.perl,no.unix,479,1161,178,0.12175102599179206
no.bibsys,no.biz.diskusjoner,218,326,59,0.12164948453608247
no.biz.annonser,no.marked.data,1973,7009,966,0.12050898203592815
no.eunet.diverse,no.eunet.drift,74,75,16,0.12030075187969924
no.biz.annonser.data,no.biz.nettilbydere,1493,656,230,0.11985409067222512
no.sources.list,no.uninett.katalog,78,53,14,0.11965811965811966
no.news.diverse,no.unix,1446,1161,278,0.11936453413482181
no.alt.gledesutbrudd,no.prat.seksualitet,1359,848,235,0.1191683569979716
no.alt.config,no.news.drift,314,223,57,0.11875
no.lisp,no.mail.diverse,194,657,90,0.11826544021024968
no.net,no.unix,862,1161,212,0.11706239646604086
no.news.diverse,no.radio-tv,1446,1987,359,0.11678594664931685
no.alt.gledesutbrudd,no.jus,1359,1415,290,0.11674718196457327
no.kryptografi,no.mail.drift,245,243,51,0.11670480549199085
no.alt.gledesutbrudd,no.irc,1359,1144,261,0.11641391614629795
no.ai,no.alt.amiga,214,93,32,0.11636363636363636
no.media,no.radio-tv,709,1987,281,0.11635610766045548
no.alt.gledesutbrudd,no.norsk,1359,1503,298,0.11622464898595944
no.musikk,no.radio-tv,2992,1987,518,0.11611746245236494
no.uninett.diverse,no.uninett.hjelp,177,83,27,0.11587982832618025
no.media,no.multimedia,709,910,168,0.11578221915920055
no.film,no.musikk,1867,2992,503,0.11547291092745639
no.tungregning,no.uninett.katalog,92,53,15,0.11538461538461539
no.kjemi,no.vit.diverse,490,449,97,0.11520190023752969
no.general,no.marked,5485,6278,1211,0.11476497346474603
no.audio,no.elektronikk,1992,1924,403,0.11471676629661258
no.tungregning,no.uninett.hjelp,92,83,18,0.11464968152866242
no.kjemi,no.lisp,490,194,70,0.11400651465798045
no.embnet,no.eunet.diverse,63,74,14,0.11382113821138211
no.kjemi,no.kryptografi,490,245,75,0.11363636363636363
no.news.diverse,no.vit.diverse,1446,449,193,0.11339600470035252
no.media,no.norsk,709,1503,225,0.1132360342224459
no.mail.diverse,no.unix,657,1161,184,0.11260709914320685
no.biz.annonser.data,no.marked,1493,6278,783,0.11204922724670864
no.jus,no.media,1415,709,214,0.11204188481675392
no.ef,no.org.efn.diskusjon,319,320,64,0.11130434782608696
no.biz.nettilbydere,no.net,656,862,152,0.11127379209370425
no.prat.politikk,no.prat.seksualitet,1120,848,197,0.11123658949745906
no.standard,no.tegnsett,100,150,25,0.1111111111111111
no.marked,no.musikk,6278,2992,926,0.11097794822627037
no.jus,no.org.efn.diskusjon,1415,320,173,0.11075544174135724
no.alt.gledesutbrudd,no.alt.mat,1359,983,233,0.11047889995258417
no.nuug,no.uninett.katalog,108,53,16,0.1103448275862069
no.alt.diskusjoner,no.ef,1895,319,220,0.11033099297893681
no.jus,no.www,1415,3396,477,0.11005999077065066
no.alt.diskusjoner,no.vitser,1895,2605,446,0.11001480019733596
no.tele,no.www,1842,3396,519,0.10998092816274635
no.radio-tv,no.www,1987,3396,533,0.10989690721649485
no.alt.gledesutbrudd,no.radio-tv,1359,1987,331,0.10978441127694859
no.uninett.katalog,no.vr,53,119,17,0.10967741935483871
no.norsk,no.www,1503,3396,484,0.10962627406568516
no.net,no.www,862,3396,420,0.10943199583116206
no.nuug,no.uninett.drift,108,85,19,0.10919540229885058
no.prat.narkotika,no.stortinget,414,501,90,0.10909090909090909
no.prat.politikk,no.skole.diverse,1120,538,163,0.10903010033444815
no.biz.annonser,no.biz.nettilbydere,1973,656,258,0.10881484605651624
no.standard,no.uninett.katalog,100,53,15,0.10869565217391304
no.marked.data,no.ms-windows,7009,2456,927,0.10857343640196768
no.ai,no.alkohol,214,880,107,0.10840932117527863
no.pc,no.tele,5852,1842,751,0.1081664986317154
no.news.drift,no.org.efn.diskusjon,223,320,53,0.10816326530612246
no.news.diverse,no.religion,1446,1359,273,0.10781990521327015
no.ef,no.folklore.overtro,319,123,43,0.10776942355889724
no.alt.diskusjoner,no.vit.diverse,1895,449,228,0.10775047258979206
no.folklore.edb,no.lisp,207,194,39,0.10773480662983426
no.kryptografi,no.uninett.diverse,245,177,41,0.10761154855643044
no.audio,no.bil,1992,1920,380,0.10758776896942242
no.embnet,no.folklore.generelt,63,40,10,0.10752688172043011
no.org.isoc-no,no.uninett.katalog,50,53,10,0.10752688172043011
no.it.diverse,no.vit.diverse,574,449,99,0.10714285714285714
no.nuug,no.sources.list,108,78,18,0.10714285714285714
no.alt.gledesutbrudd,no.media,1359,709,200,0.10706638115631692
no.ms-windows,no.tele,2456,1842,415,0.10687612670615504
no.marked,no.www,6278,3396,933,0.10673835945543989
no.general,no.linux,5485,2396,760,0.1067265833450358
no.alt.mat.drikke,no.vit.diverse,516,449,93,0.10665137614678899
no.alt.diskusjoner,no.film,1895,1867,361,0.10614525139664804
no.uninett.diverse,no.uninett.katalog,177,53,22,0.10576923076923077
no.alt.arkiv,no.alt.radio-tv.irma-1000,160,269,41,0.1056701030927835
no.alt.mat.drikke,no.alt.sjokolade,516,635,110,0.10566762728146013
no.alt.gledesutbrudd,no.www,1359,3396,454,0.10555684724482678
no.linux,no.pc,2396,5852,787,0.1054818388955904
no.linux,no.www,2396,3396,552,0.10534351145038168
no.alt.diskusjoner,no.litteratur,1895,1161,290,0.10484454085321765
no.alt.config,no.ef,314,319,60,0.10471204188481675
no.elektronikk,no.tele,1924,1842,356,0.10439882697947214
no.folklore.edb,no.it.emacs,207,248,43,0.10436893203883495
no.net,no.tele,862,1842,255,0.10412413229889751
no.norsk,no.radio-tv,1503,1987,329,0.10408098702942106
no.ef,no.psykologi,319,458,73,0.10369318181818182
no.alt.gledesutbrudd,no.alt.sjokolade,1359,635,187,0.10348644161593802
no.general,no.musikk,5485,2992,794,0.10334504750748405
no.it.diverse,no.net,574,862,134,0.10291858678955453
no.biz.nettilbydere,no.tele,656,1842,233,0.10286975717439294
no.alt.diskusjoner,no.alt.mat,1895,983,268,0.10268199233716475
no.it.diverse,no.news.diverse,574,1446,188,0.10262008733624454
no.eunet.diverse,no.eunet.hjelp,74,141,20,0.10256410256410256
no.biz.annonser.data,no.ms-windows,1493,2456,367,0.10245672808486879
no.general,no.religion,5485,1359,635,0.10227089708487679
no.folklore.overtro,no.vit.diverse,123,449,53,0.10211946050096339
no.musikk,no.musikk.gitar,2992,798,351,0.10206455364931666
no.audio,no.video,1992,903,268,0.1020175104682147
no.irc,no.www,1144,3396,420,0.10194174757281553
no.unix,no.www,1161,3396,421,0.10178916827852998
no.alt.config,no.alt.diskusjoner,314,1895,204,0.10174563591022444
no.news.diverse,no.prat.seksualitet,1446,848,210,0.10076775431861804
no.jus,no.radio-tv,1415,1987,311,0.10061468780329991
no.elektronikk,no.pc,1924,5852,710,0.10048117746957261
no.it.emacs,no.kryptografi,248,245,45,0.10044642857142858
no.jus,no.religion,1415,1359,253,0.10035700119000397
no.alt.gledesutbrudd,no.film,1359,1867,294,0.10027285129604366
no.biz.annonser.data,no.pc,1493,5852,669,0.10020970641102457
no.sources.wanted,no.standard,142,100,22,0.1
no.jus,no.mail.diverse,1415,657,188,0.09978768577494693
no.radio-tv,no.video,1987,903,262,0.09969558599695585
no.news.diverse,no.tele,1446,1842,298,0.09966555183946488
no.alkohol,no.prat.politikk,880,1120,181,0.09950522264980759
no.alkohol,no.alt.config,880,314,108,0.09944751381215469
no.tungregning,no.uninett.drift,92,85,16,0.09937888198757763
no.alt.irc-treff,no.irc,237,1144,124,0.09864757358790771
no.audio,no.musikk,1992,2992,447,0.09852325325104695
no.marked.data,no.spill,7009,2481,850,0.09837962962962964
no.lisp,no.org.efn.diskusjon,194,320,46,0.09829059829059829
no.vitser,no.www,2605,3396,537,0.0982796486090776
no.audio,no.marked,1992,6278,740,0.09827357237715803
no.org.nobug.diverse,no.tungregning,76,92,15,0.09803921568627451
no.alt.diskusjoner,no.musikk,1895,2992,436,0.09795551561446866
no.psykologi,no.religion,458,1359,162,0.09788519637462235
no.marked.data,no.www,7009,3396,927,0.09780544418653725
no.embnet,no.uninett.hjelp,63,83,13,0.09774436090225563
no.jus,no.tele,1415,1842,290,0.09774182676103808
no.nuug,no.uninett.hjelp,108,83,17,0.09770114942528736
no.alt.diskusjoner,no.tele,1895,1842,332,0.09750367107195301
no.alt.arkiv,no.alt.fan.de-lillos,160,88,22,0.09734513274336283
no.alt.diskusjoner,no.pc,1895,5852,687,0.09730878186968839
no.alt.gledesutbrudd,no.religion,1359,1359,241,0.09729511505853855
no.nuug,no.org.isoc-no,108,50,14,0.09722222222222222
no.general,no.tele,5485,1842,649,0.09718478586403115
no.alt.config,no.alt.god.jul,314,443,67,0.09710144927536232
no.irc,no.media,1144,709,164,0.09709887507400829
no.linux,no.news.diverse,2396,1446,340,0.0970873786407767
no.ms-windows,no.multimedia,2456,910,297,0.0967741935483871
no.film,no.general,1867,5485,648,0.09665871121718377
no.general,no.marked.data,5485,7009,1101,0.09663828666725183
no.alt.mat.drikke,no.hobby.diverse,516,790,115,0.09655751469353484
no.org.nobug.diverse,no.uninett.hjelp,76,83,14,0.09655172413793103
no.multimedia,no.net,910,862,156,0.09653465346534654
no.alt.diskusjoner,no.psykologi,1895,458,207,0.09645852749301025
no.ms-windows,no.spill,2456,2481,434,0.09638019098378858
no.prat.seksualitet,no.vit.diverse,848,449,114,0.09636517328825021
no.unix,no.x,1161,228,122,0.0962904498816101
no.nuug,no.uninett.diverse,108,177,25,0.09615384615384616
no.norsk,no.religion,1503,1359,251,0.09613175028724627
no.media,no.stortinget,709,501,106,0.09601449275362318
no.bil,no.marked,1920,6278,717,0.09584280176446999
no.irc,no.org.efn.diskusjon,1144,320,128,0.09580838323353294
no.general,no.irc,5485,1144,579,0.09570247933884297
no.jus,no.stortinget,1415,501,167,0.09548313321898227
